Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_50,classification,PATTERN,LLDate,HHDate,SNO
2004-09-27,0010.HK,11.899999618530272,11.949999809265137,11.800000190734863,11.899999618530272,5.393958568572998,795000,0.0,0.0,12.117384780814586,12.05949835157607,11.74870033419925,11.41556897634588,10.61777639517888,True,True,True,12.75,12.649999618530272,12.800000190734863,11.800000190734863,11.800000190734863,BY1-2004/08/04,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,False,LL,LLHHHH,2004-10-05,2004-10-12,10.HK
2004-11-02,0010.HK,12.800000190734863,13.0,12.800000190734863,12.949999809265137,5.869895935058594,2857000,0.0,0.0,12.71520617571554,12.598617757772884,12.286239222415054,11.862354307234735,10.953874390487536,True,True,True,0.0,0.0,0.0,0.0,0.0,TP1-2004/08/04,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,False,,,,,10.HK
2004-11-17,0010.HK,13.649999618530272,14.100000381469728,13.649999618530272,14.0,6.521699905395508,2629500,0.0,0.0,13.452991242483847,13.15144909211486,12.697434811989185,12.171847336995546,11.161843532155896,True,True,True,0.0,0.0,0.0,0.0,0.0,TP2-2004/08/04,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,False,,,,,10.HK
2004-11-23,0010.HK,14.399999618530272,15.0,14.399999618530272,14.899999618530272,6.940950870513916,5974000,0.0,0.0,14.03222960411344,13.554656225460016,12.95809030675034,12.34739233669374,11.26546249295723,True,True,True,0.0,0.0,0.0,0.0,0.0,TP3-2004/08/04,False,False,False,False,False,False,True,False,False,False,0.0,0,0,False,False,,,,,10.HK
2002-08-13,1050.HK,0.5138880014419556,0.5208330154418945,0.4756940007209778,0.5104159712791443,0.0282539781183004,1175040,0.17625,0.0,0.5841217751457384,0.5802615455945976,0.5432721276125614,0.4784919395696033,0.3533325224859319,True,True,True,0.555554986000061,0.5277770161628723,0.5277770161628723,0.4756940007209778,0.4756940007209778,BY1-2002/06/18,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,False,LL,LLLHHL,2002-08-21,2002-08-29,1050.HK
2010-04-22,1050.HK,0.1979160010814666,0.2013880014419555,0.1875,0.2013880014419555,0.0542338639497756,1814400,0.0,0.0,0.2043450744606506,0.2018073942828316,0.1978481862723357,0.1950337544665618,0.1936567052419093,True,True,True,0.2256940007209777,0.2013880014419555,0.2118050009012222,0.1875,0.1770830005407333,BY1-2010/03/26,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,False,HL,HLHHLH,2010-04-27,2010-05-04,1050.HK
2010-04-27,1050.HK,0.2256940007209777,0.2256940007209777,0.2013880014419555,0.2048610001802444,0.0551691353321075,604800,0.0,0.0,0.2036390697554751,0.2020092252246845,0.1983847132989786,0.1954725812242531,0.1938677217068115,True,True,True,0.2118050009012222,0.2013880014419555,0.2013880014419555,0.1875,0.1875,TP1-2010/03/26,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,False,HH,HHLHLH,2010-05-04,2010-05-14,1050.HK
2010-05-25,1050.HK,0.1684020012617111,0.1684020012617111,0.1684020012617111,0.1684020012617111,0.0453507006168365,967680,0.0,0.0,0.1857784583528629,0.1923335088932007,0.1952274906559173,0.1947215953132128,0.1938066073911935,False,False,False,0.0,0.0,0.0,0.0,0.0,CL2-2010/03/26,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,False,,,,,1050.HK
2016-01-07,1050.HK,0.3402769863605499,0.3402769863605499,0.2986109852790832,0.305554986000061,0.1233017966151237,24857280,0.0,0.0,0.3226910026097596,0.308074727093729,0.2882854507219861,0.2739683485190359,0.2637575757414486,True,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2015/12/04,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,1050.HK
2016-01-22,1050.HK,0.2604160010814667,0.2604160010814667,0.2430550009012222,0.25,0.1008834615349769,12484800,0.0,0.0,0.2755111327100418,0.2866318145453658,0.2840419121371177,0.2746127550630967,0.264936221928672,False,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2015/12/04,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,1050.HK
2016-06-10,1050.HK,0.34375,0.34375,0.336804986000061,0.3402769863605499,0.1373132765293121,2373120,0.0,0.0,0.3384922920419604,0.3359524368058049,0.3294959146192556,0.3154710773345328,0.2915375539480736,True,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2016/05/20,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,1050.HK
2016-06-23,1050.HK,0.3402769863605499,0.3541660010814667,0.3402769863605499,0.34375,0.1387147605419159,2257920,0.0,0.0,0.3396923864420131,0.3378191895175907,0.3323637167171499,0.3193236267394654,0.2948196957698463,True,True,True,0.0,0.0,0.0,0.0,0.0,TP1-2016/05/20,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,False,,,,,1050.HK
2016-06-28,1050.HK,0.3541660010814667,0.3958329856395721,0.3541660010814667,0.3888880014419555,0.1569294780492782,26546244,0.0,0.0,0.3523171458680985,0.3445391412367545,0.3360756759917519,0.3219769501249697,0.2964769469475149,True,True,True,0.0,0.0,0.0,0.0,0.0,TP3-2016/05/20,False,False,False,False,False,True,True,False,False,False,0.0,0,0,False,False,,,,,1050.HK
2016-11-03,1050.HK,0.4722220003604889,0.4791660010814667,0.4652769863605499,0.4722220003604889,0.2029201388359069,941760,0.0,0.0,0.4685211247336023,0.4591058257777269,0.4515828661896505,0.4329397233138438,0.3777048662953384,True,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2016/10/04,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,1050.HK
2021-02-08,1050.HK,1.1597219705581665,1.256943941116333,1.048611044883728,1.25,0.8707499504089355,26452800,0.0,0.0,1.0579306915079267,0.939943554656418,0.8619055751662306,0.8186045441085117,0.785475792604878,True,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2021/01/19,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,1050.HK
2025-03-04,1050.HK,0.8600000143051147,0.8600000143051147,0.8299999833106995,0.8600000143051147,0.8415714502334595,1228000,0.0,0.0,0.8629368173954214,0.8378460744535848,0.8156962426728014,0.7958586791799702,0.7553339166383839,True,True,True,0.8399999737739563,0.8600000143051147,0.8700000047683716,0.8299999833106995,0.75,BY1-2025/02/11,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,False,HL,HLHLLH,2025-03-17,2025-03-18,1050.HK
2025-04-07,1050.HK,0.7099999785423279,0.7099999785423279,0.6100000143051147,0.6600000262260437,0.6458571553230286,3232000,0.0,0.0,0.7877139120867664,0.8153085977317689,0.820995614011266,0.8081240051428862,0.7681805287120378,False,False,False,0.7099999785423279,0.75,0.7599999904632568,0.6100000143051147,0.6100000143051147,CL1-2025/02/11,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,False,LL,LLLHLH,2025-04-14,2025-04-24,1050.HK
2015-02-11,1052.HK,4.900000095367432,5.170000076293945,4.900000095367432,5.150000095367432,2.5497472286224365,4790000,0.0,0.0,5.151826467417447,5.033156992957268,4.915640790345269,4.841974634775598,4.622760272611219,True,True,True,5.349999904632568,5.159999847412109,5.119999885559082,4.619999885559082,4.429999828338623,BY1-2015/01/14,True,True,True,True,False,False,False,False,False,False,0.0,0,0,False,False,HL,HLLHHL,2015-02-13,2015-02-18,1052.HK
2015-04-09,1052.HK,5.300000190734863,5.400000095367432,5.25,5.329999923706055,2.638864517211914,3106617,0.0,0.0,5.066306607357266,5.0459657383319225,5.032759275675846,4.96665817246033,4.741116210164,True,True,True,0.0,0.0,0.0,0.0,0.0,TP1-2015/01/14,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,False,,,,,1052.HK
2015-04-28,1052.HK,5.769999980926514,5.860000133514404,5.769999980926514,5.840000152587891,2.891363859176636,2337865,0.0,0.0,5.625897459318747,5.446122187645001,5.2622358072287385,5.109132414322261,4.824284425456755,True,True,True,5.46999979019165,5.909999847412109,5.980000019073486,5.400000095367432,5.119999885559082,TP2-2015/01/14,True,True,True,False,False,True,False,False,False,False,0.0,0,0,False,False,HH,HHHLHH,2015-05-06,2015-05-12,1052.HK
