Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_50,SNO
2025-10-09,6979.HK,9.079999923706056,9.18000030517578,8.550000190734863,8.609999656677246,8.609999656677246,13259590,0.0,0.0,LH,LHLLHH,8.510000228881836,2025-10-13,9.520000457763672,2025-10-15,9.670000076293944,8.550000190734863,SB1-2025/10/09,False,False,False,False,False,True,1.0,2.0,0.0,1.0,1.0,9.09,9.670000076293944,10.250000152587887,,,,,,,,,6979.HK
2025-08-29,2319.HK,15.550000190734863,15.739999771118164,15.199999809265137,15.199999809265137,15.199999809265137,68994892,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CL1-2025/07/04,False,False,False,True,False,False,0.0,,,,,,,,16.15377716441674,16.35650275765437,16.58803188029912,16.79730764144565,16.97417190569709,False,False,False,2319.HK
2025-09-23,2097.HK,391.6000061035156,412.3999938964844,389.7999877929688,410.0,410.0,1267937,0.0,0.0,LH,LHLLHH,371.6000061035156,2025-10-08,444.2000122070313,2025-10-16,465.7999877929688,371.7999877929688,SB1-2025/09/23,False,False,False,False,False,True,0.83,5.0,3.0,1.0,1.0,418.7,465.7999877929688,512.8999755859377,403.0574498872041,415.5865761874813,441.1200153264127,449.4768705406637,409.467370109218,False,False,False,2097.HK
2025-09-17,1898.HK,9.619999885559082,10.15999984741211,9.600000381469728,10.0,10.0,33813338,0.0,0.0,LH,LHLLHH,9.140000343322754,2025-10-02,11.100000381469728,2025-10-20,11.170000076293944,9.210000038146973,SB1-2025/09/17,False,False,False,False,False,True,0.73,8.0,5.0,1.0,2.0,10.16,11.170000076293944,12.180000152587889,9.583315206629925,9.548346945712986,9.426681044891888,9.106447768910696,8.554046419257512,True,True,False,1898.HK
2025-09-08,1038.HK,52.95000076293945,53.0,52.29999923706055,52.5,51.76860809326172,1362114,0.0,0.0,LH,LHLLHH,51.25,2025-09-10,53.34999847412109,2025-09-17,54.400001525878906,51.79999923706055,SB1-2025/09/08,False,False,False,False,False,True,0.8,4.0,3.0,0.0,1.0,52.83,54.400001525878906,55.97000305175781,51.869661650414365,52.19685401028678,52.15203933613293,51.51266282215524,49.78582092957372,False,False,False,1038.HK
2025-09-25,1038.HK,52.20000076293945,52.20000076293945,51.09999847412109,51.29999923706055,51.29999923706055,2365709,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CL1-2025/09/08,False,False,False,True,False,False,0.0,,,,,,,,52.22893112835184,52.34184345139949,52.27464284335972,51.73141290110963,50.051417983736,False,False,True,1038.HK
2025-09-08,0941.HK,85.75,86.0,85.0,85.5999984741211,85.5999984741211,17108488,0.0,0.0,LL,LLLHLL,88.05000305175781,2025-09-12,85.1500015258789,2025-09-23,84.69999694824219,85.0,CL1-2025/07/24,False,False,False,True,False,False,0.0,,,,,,,,85.94123611061477,85.73910177573788,84.86393010363827,82.88095605009997,77.10880532541343,True,True,True,941.HK
2025-09-12,0914.HK,24.559999465942383,24.940000534057617,23.63999938964844,23.84000015258789,23.84000015258789,11914306,0.0,0.0,LH,LHLLHH,22.420000076293945,2025-09-18,24.979999542236328,2025-10-10,25.100000381469727,22.68000030517578,SB1-2025/09/12,False,False,False,False,False,True,0.79,11.0,3.0,6.0,2.0,23.76,25.100000381469727,26.44000076293945,24.011849972949616,23.866646675823347,23.212402715661053,22.280888008083743,20.869732329997216,True,True,False,914.HK
2025-09-30,0168.HK,53.09999847412109,53.59999847412109,52.650001525878906,53.0,53.0,4588700,0.0,0.0,LH,LHLLHH,50.20000076293945,2025-10-06,54.75,2025-10-10,55.54999923706055,50.84999847412109,SB1-2025/09/30,False,False,False,False,False,True,0.67,2.0,2.0,0.0,0.0,52.88,55.54999923706055,58.21999847412109,52.34782261460188,51.92038101181811,51.63860764887729,51.66326272408615,51.42165087610043,False,True,False,168.HK
2025-10-02,0148.HK,27.799999237060547,28.100000381469727,27.479999542236328,27.86000061035156,27.86000061035156,2351100,0.0,0.0,LH,LHLLHH,25.600000381469727,2025-10-13,28.18000030517578,2025-10-16,28.81999969482422,25.89999961853028,SB1-2025/10/02,False,False,False,False,False,True,0.67,2.0,1.0,0.0,1.0,27.21,28.81999969482422,30.42999938964844,27.25969398778353,27.381251466911078,27.193260897848894,25.89716867517096,22.86013791808645,False,False,False,148.HK
2025-10-23,0148.HK,26.799999237060547,27.15999984741211,25.200000762939453,26.68000030517578,26.68000030517578,3417231,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CL1-2025/10/02,False,False,False,True,False,False,0.0,,,,,,,,27.074672275677745,27.21860376227289,27.19670346201629,26.220062292106217,23.323155130228365,False,False,False,148.HK
2025-09-03,0016.HK,94.4499969482422,95.4000015258789,91.5,92.0999984741211,92.0999984741211,5922635,0.0,0.0,LH,LHLLHH,88.9000015258789,2025-09-05,97.5,2025-09-10,97.8499984741211,89.5999984741211,SB1-2025/09/03,False,False,False,False,False,True,0.67,2.0,1.0,0.0,1.0,93.38,97.8499984741211,102.3199969482422,92.68813687669936,92.74683428874204,91.22073308043328,87.40760901224323,81.50422419589275,False,False,False,16.HK
