Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_150,SNO
2025-02-25,2638.HK,5.329999923706055,5.389999866485596,5.329999923706055,5.380000114440918,5.084604263305664,3662214,0.0,0.0,5.015688863235656,4.992920268872572,4.975549935035341,4.94151101118433,4.773325245515526,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
2025-02-26,2638.HK,5.380000114440918,5.409999847412109,5.380000114440918,5.389999866485596,5.09405517578125,4291499,0.0,0.0,5.029937283698492,5.001714608603762,4.980197199378318,4.9445316877110015,4.775880862489755,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
2025-02-27,2638.HK,5.380000114440918,5.400000095367432,5.369999885559082,5.389999866485596,5.09405517578125,2738882,0.0,0.0,5.041595082258993,5.009744223140936,4.9846622180607865,4.947492548860907,4.778416115982118,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
2025-02-28,2638.HK,5.389999866485596,5.400000095367432,5.369999885559082,5.400000095367432,5.103506088256836,2883493,0.0,0.0,5.052851628804056,5.017897428803188,4.989322761990044,4.950581925878648,4.7810064743269365,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
2025-03-03,2638.HK,5.400000095367432,5.409999847412109,5.380000114440918,5.400000095367432,5.103506088256836,1956788,0.0,0.0,5.062061530522742,5.025341660060027,4.993800539490703,4.953610127113859,4.783576192366218,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
2025-03-04,2638.HK,5.400000095367432,5.460000038146973,5.400000095367432,5.449999809265137,5.150760650634766,3614108,0.0,0.0,5.078188643270382,5.03624765924044,4.999955837966941,4.957514097876649,4.786501964942064,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
2025-03-05,2638.HK,5.449999809265137,5.480000019073486,5.420000076293945,5.460000038146973,5.160211563110352,3224473,0.0,0.0,5.093101901423103,5.047027129142171,5.00624037620786,4.961527909069395,4.78947973066452,True,True,HH,HHHHHL,5.5,2025-03-13,5.300000190734863,2025-03-28,5.300000190734863,5.269999980926514,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
2025-03-06,2638.HK,5.460000038146973,5.46999979019165,5.420000076293945,5.460000038146973,5.160211563110352,3903890,0.0,0.0,5.105303658093511,5.056869253835056,5.012278461968742,4.965462238852384,4.7924337691700645,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
2025-03-07,2638.HK,5.449999809265137,5.46999979019165,5.409999847412109,5.440000057220459,5.14130973815918,4108973,0.0,0.0,5.111850218105452,5.06421190464585,5.017338512015425,4.968944367551528,4.795213657369182,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
2025-03-10,2638.HK,5.440000057220459,5.46999979019165,5.440000057220459,5.460000038146973,5.160211563110352,1807789,0.0,0.0,5.120643189924524,5.072559701034067,5.022941376764246,4.972731836770514,4.798122007215725,True,True,,,0.0,,0.0,,0.0,0.0,False,False,False,False,False,False,0.0,0,0,False,True,2638.HK
