index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,SNO
2007-12-10,0001.HK,101.84732818603516,103.56265258789062,99.91759490966795,99.98906707763672,43.85831832885742,12251431,0.0,0.0,102.91601343212623,101.82464870585598,98.28698045662858,92.19068599436612,81.71001287994329,True,True,True,False,3.6450576782226713,3.7701382637023935,7.540276527404789,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2007/11/14,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1.HK
2008-01-21,0001.HK,91.19802856445312,91.98422241210938,88.19621276855469,88.26768493652344,38.71695327758789,13444282,0.0,0.0,95.09218196899047,97.66993547985987,98.27149085660956,94.86089306555564,85.02316844950587,False,False,False,False,3.788009643554688,3.077754497528073,6.155508995056147,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2007/11/14,False,False,False,False,False,False,False,True,False,False,False,0.0,0,0,False,,,,,,,1.HK
2011-10-21,0001.HK,62.89519500732422,63.96726989746094,62.89519500732422,63.43123245239258,32.23848342895508,6160266,0.0,0.0,64.55319006135804,65.4790627541229,69.2035885181732,73.94382577899887,77.96040601987147,False,False,False,False,1.0720748901367188,1.6208787645612444,3.2417575291224887,71.25739288330078,65.75406646728516,65.43244171142578,-0.08,57.89216613769531,56.5342025756836,BY1-2011/09/27,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,HL,HLHHHL,2011-10-28,2011-11-03,,,1.HK
2011-10-27,0001.HK,65.36096954345703,68.54146575927734,65.32523345947266,68.21984100341797,34.67226028442383,12837635,0.0,0.0,65.70862037225979,65.811999625394,68.80938992585715,73.37345860065095,77.60005094636223,False,False,False,False,3.2162322998046875,1.6336416516985206,3.267283303397041,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2011/09/27,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1.HK
2020-06-12,0001.HK,50.650001525878906,52.04999923706055,50.54999923706055,52.04999923706055,39.64511489868164,11782962,0.0,0.0,52.62656555117555,52.73479126228796,54.64961916712401,58.59016567873804,66.10833173240002,False,False,False,False,1.5,1.2928575788225452,2.5857151576450903,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2020/05/26,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1.HK
2020-08-25,0001.HK,51.84999847412109,52.150001525878906,51.5,51.59999847412109,39.30236053466797,3663352,0.0,0.0,51.44744107034701,51.27856228961158,51.60344995692142,53.84887788704508,61.152777582055386,False,False,False,False,0.6500015258789062,1.0187494754791246,2.0374989509582493,48.29999923706055,49.5,49.650001525878906,0.03,48.54999923706055,48.54999923706055,TU1-2020/05/26,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,LH,LHLLLH,2020-09-11,2020-09-15,,,1.HK
2009-11-18,0101.HK,31.700000762939453,32.0,30.5,30.950000762939453,15.490756034851074,4395653,0.0,0.0,30.83503487023905,30.29180720256777,29.20718999479579,27.535617979132198,24.88237906937507,True,True,True,False,1.5,0.9264709248262284,1.3897063872393425,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2009/10/23,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,,101.HK
2009-11-27,0101.HK,28.549999237060547,29.299999237060547,27.5,27.600000381469727,13.81405258178711,9384500,0.0,0.0,29.44432361374025,29.76806258190539,29.222711003755883,27.76700859997837,25.124514705352748,False,False,False,False,1.7999992370605469,0.766666793823241,1.1500001907348616,31.5,30.14999961853028,29.5,-0.06,27.5,27.5,CL1-2009/10/23,True,True,True,False,False,False,False,True,False,False,False,0.0,0,0,False,LL,LLLHHL,2009-12-08,2009-12-09,,,101.HK
2015-04-20,0101.HK,23.350000381469727,23.700000762939453,23.0,23.0,13.019573211669922,5678814,0.0,0.0,23.261648636303363,22.76738801609392,22.38245830943568,22.377447525492656,22.95372558917917,False,True,True,False,0.7000007629394531,0.4299999237060544,0.6449998855590817,26.350000381469727,24.450000762939453,24.200000762939453,-0.08,22.350000381469727,21.14999961853028,BY1-2015/03/24,False,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,HL,HLHHHL,2015-04-29,2015-05-13,,,101.HK
2015-04-29,0101.HK,24.600000381469727,26.350000381469727,24.299999237060547,26.200000762939453,14.830995559692385,44338004,0.0,0.0,24.203269112729387,23.50676458746485,22.84085836953564,22.619396791767283,23.02223622125932,False,True,True,False,2.05000114440918,0.4633333841959633,0.695000076293945,24.200000762939453,26.299999237060547,26.450000762939453,0.09,23.14999961853028,23.0,TP2-2015/03/24,True,True,True,False,True,True,False,False,False,False,False,0.0,0,0,False,HH,HHHLHH,2015-05-13,2015-05-26,,,101.HK
2020-02-28,0101.HK,17.239999771118164,17.360000610351562,16.920000076293945,17.020000457763672,11.791017532348633,11528609,0.0,0.0,17.718162878101346,17.699696921969053,17.56374521754872,17.49455411815634,17.493503945858052,True,True,True,False,0.4400005340576172,0.3373334248860679,0.5060001373291019,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2020/01/24,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,,101.HK
2020-03-16,0101.HK,16.200000762939453,16.299999237060547,15.779999732971191,16.020000457763672,11.098240852355955,12932220,0.0,0.0,16.836131260001086,17.1732830093681,17.33629093233643,17.385899045011364,17.448466518142055,False,False,False,False,0.5199995040893555,0.3858822654275335,0.5788233981413002,14.0600004196167,14.760000228881836,15.300000190734863,0.09,14.920000076293944,14.920000076293944,CL1-2020/01/24,False,False,False,False,False,False,False,True,False,False,False,0.0,0,0,False,LH,LHLLLH,2020-03-19,2020-03-20,,,101.HK
2022-06-13,0101.HK,14.800000190734863,14.880000114440918,14.380000114440918,14.5,11.338189125061035,9534170,0.0,0.0,14.68384958104047,14.735984648918652,15.101587566868387,15.623679106319177,16.794866442884572,False,False,False,False,0.5,0.2920001983642576,0.4380002975463865,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2022/05/30,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,,,,,,,101.HK
2022-06-27,0101.HK,14.619999885559082,15.359999656677246,14.460000038146973,15.100000381469728,11.80735683441162,8095015,0.0,0.0,14.610814630531966,14.632428955261265,14.918500689223428,15.42725117875248,16.621227840370715,False,False,False,False,0.8999996185302734,0.3314286640712189,0.4971429961068283,14.199999809265137,14.579999923706056,14.699999809265137,0.04,14.279999732971191,13.84000015258789,TP1-2022/05/30,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,HH,HHLLLH,2022-07-07,2022-07-08,,,101.HK
2025-11-21,0101.HK,9.010000228881836,9.010000228881836,8.699999809265137,8.729999542236328,8.729999542236328,12013020,0.0,0.0,9.015819305094013,8.933711686988667,8.729460126565614,8.315133545425695,7.743456693733512,True,True,True,False,0.3100004196166992,0.1557139669145857,0.2335709503718786,9.1899995803833,9.0,8.850000381469727,-0.04,8.319999694824219,8.319999694824219,BY1-2025/10/30,True,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,HL,HLLHHL,2025-11-26,2025-11-28,,,101.HK
2025-12-29,0101.HK,8.729999542236328,9.0,8.680000305175781,8.979999542236328,8.979999542236328,13281548,0.0,0.0,8.929111863811505,8.947251993716561,8.857640518244278,8.530091482755271,7.92481941476983,False,False,False,False,0.3199996948242187,0.2577776379055448,0.3866664568583172,0.0,0.0,0.0,0.0,0.0,0.0,TU1-2025/10/30,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,,,,,,,101.HK
2000-03-16,1038.HK,14.300000190734863,14.300000190734863,13.100000381469728,13.399999618530272,4.5937910079956055,1874000,0.0,0.0,13.688440721997418,13.266676810219188,13.47056877091391,13.41365248332484,13.03234152107878,False,False,False,False,1.199999809265135,0.7535715784345358,1.1303573676518035,15.149999618530272,13.5,13.5,-0.11,10.649999618530272,10.149999618530272,BY1-2000/02/23,False,False,True,True,False,False,False,False,False,False,False,0.0,0,0,False,LL,LLLHHL,2000-03-28,2000-04-05,,,1038.HK
2000-06-05,1038.HK,13.350000381469728,13.399999618530272,13.0,13.300000190734863,4.666921138763428,1215000,0.0,0.0,13.09103544245646,12.97799993389598,13.0759053807361,13.411401942877514,13.03234152107878,False,False,False,False,0.3999996185302716,0.3866665522257482,0.5799998283386224,0.0,0.0,0.0,0.0,0.0,0.0,TU1-2000/02/23,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,,,,,,,1038.HK
