index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,SNO
2025-12-16,0002.HK,68.55000305175781,68.69999694824219,68.05000305175781,68.44999694824219,68.44999694824219,4241547,0.0,0.0,68.04705381935965,67.94294621989461,67.42643927603609,66.86050924067526,66.1909297318749,True,True,True,True,0.649993896484375,0.7058819041532629,1.4117638083065258,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-17,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2726124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.7000000897575828,1.4000001795151655,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-18,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2726124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.7058828017290901,1.4117656034581805,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-19,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2726124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.6970596313476562,1.3941192626953125,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-20,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2726124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.6852951049804688,1.3705902099609375,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-21,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2726124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.6911778169519761,1.3823556339039522,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-22,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2726124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.6911782657398897,1.3823565314797794,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-23,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2726124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.7029432408949908,1.4058864817899817,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-24,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2726124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.7222243414984809,1.4444486829969618,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
2025-12-25,0002.HK,68.44999694824219,68.80000305175781,68.19999694824219,68.69999694824219,68.69999694824219,2726124,0.0,0.0,68.16577075188374,68.0087767180118,67.47638271416183,66.89693473983499,66.21092229933599,True,True,True,True,0.600006103515625,0.713891347249349,1.427782694498698,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,2.HK
