Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,classification,PATTERN,LLDate,HHDate
2021-06-16,9992.HK,64.80000305175781,65.30000305175781,61.09999847412109,61.70000076293945,60.23109817504883,3228400,0.0,0.0,65.23144610098379,65.06095896267854,64.964218419318,66.64516061733254,,False,True,0.0,0.0,0.0,0.0,BY1-2021/05/07,True,False,False,False,False,False,0.0,,,,
2021-06-23,9992.HK,66.0,71.5,64.19999694824219,70.05000305175781,68.38231658935547,5608640,0.0,0.0,65.04878241711477,64.91211544585163,64.88392351636199,66.43815440098554,67.95937343963959,False,True,0.0,0.0,0.0,0.0,TP1-2021/05/07,False,True,False,False,False,False,0.0,,,,
2021-06-28,9992.HK,73.0,76.5,72.19999694824219,75.9000015258789,74.0930404663086,2474474,0.0,0.0,67.99615537294378,66.45724130330952,65.609102042072,66.71912780245883,68.03723856481506,False,True,0.0,0.0,0.0,0.0,TP2-2021/05/07,False,False,True,False,False,False,0.0,,,,
2022-07-08,9992.HK,34.54999923706055,34.599998474121094,32.5,33.150001525878906,32.544403076171875,8643067,0.0,0.0,34.934145979163425,34.654517339967924,34.15452466986863,35.895337773405075,43.91359640949533,False,True,0.0,0.0,0.0,0.0,BY1-2022/05/18,True,False,False,False,False,False,0.0,,,,
2022-07-14,9992.HK,30.350000381469727,30.350000381469727,27.549999237060547,28.200000762939453,27.68483161926269,23731798,0.0,0.0,31.780479497782288,33.04693527705884,33.460771047841035,35.40318137646679,43.46007074240799,False,False,0.0,0.0,0.0,0.0,CL1-2022/05/18,False,False,False,True,False,False,0.0,,,,
2022-06-14,9988.HK,98.25,102.4000015258789,97.1999969482422,101.1999969482422,100.5372314453125,79243938,0.0,0.0,100.95065901469688,96.52982733566624,96.33602693187476,104.2582218674612,134.6640692116262,False,True,0.0,0.0,0.0,0.0,BY1-2022/05/17,True,False,False,False,False,False,0.0,,,,
2022-06-27,9988.HK,117.3000030517578,120.4000015258789,116.0999984741211,118.0999984741211,117.3265609741211,98194624,0.0,0.0,107.36243571413674,102.59628352860592,99.51069526423557,104.6490375258776,132.70825499626594,False,True,109.4000015258789,121.0,122.0,97.1999969482422,TP1-2022/05/17,False,True,False,False,False,False,0.0,HH,HHHLHH,2022-07-04,2022-07-08
2022-09-23,9988.HK,79.1500015258789,80.3499984741211,78.4000015258789,78.4000015258789,77.88655090332031,45213463,0.0,0.0,83.79835263113299,86.73599175406338,90.91128174509396,96.01027367740473,117.66092292104976,False,False,0.0,0.0,0.0,0.0,CL2-2022/05/17,False,False,False,False,True,False,0.0,,,,
2022-09-30,9961.HK,211.6000061035156,214.1999969482422,207.1999969482422,210.8000030517578,210.66458129882807,916028,0.0,0.0,210.398267756212,207.8446653993814,204.80672824883192,200.875704571871,207.72121747229528,False,True,0.0,0.0,0.0,0.0,BY1-2022/09/13,True,False,False,False,False,False,0.0,,,,
2022-10-05,9961.HK,227.1999969482422,232.1999969482422,223.0,230.3999938964844,230.25198364257807,1728529,0.0,0.0,214.9693723226953,210.5089484087279,206.25874480426555,201.7676775957188,207.97298895173904,False,True,0.0,0.0,0.0,0.0,TP1-2022/09/13,False,True,False,False,False,False,0.0,,,,
