Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,T1_100,EMA250,SNO
2025-05-21,0101.HK,6.230000019073486,6.300000190734863,6.239999771118164,6.269999980926514,6.177453994750977,7136681,0.0,0.0,6.218060183766289,6.237848559417724,6.299777800768124,6.357444967264065,False,False,LH,LHLLHH,6.039999961853027,2025-06-02,6.940000057220459,2025-06-17,7.079999923706055,6.099999904632568,6.039999961853027,SB1-2025/05/21,False,False,False,False,False,False,True,0.73,8,4,1.0,3.0,True,6.56,7.079999923706055,7.59999984741211,8.119999771118165,False,6.866529913511224,101.HK
2024-12-10,1038.HK,54.20000076293945,54.79999923706055,53.75,53.900001525878906,51.24250411987305,2925615,0.0,0.0,54.05892365100927,54.026577547099535,54.03246699693548,53.09549959796946,False,True,LH,LHLLHH,52.75,2024-12-13,57.59999847412109,2024-12-30,58.0,52.95000076293945,52.0,SB1-2024/12/10,False,False,False,False,False,False,True,0.75,6,3,2.0,1.0,True,55.38,58.0,60.62,63.24,False,49.36895959971935,1038.HK
2025-01-08,1038.HK,55.79999923706055,56.75,55.34999847412109,55.70000076293945,52.953758239746094,1040337,0.0,0.0,55.90392721091973,55.20554715061667,54.62717444949031,53.66454765956615,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2024/12/10,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,50.0577103283635,1038.HK
2025-02-05,1038.HK,52.5,52.95000076293945,51.900001525878906,52.0,49.436180114746094,2041351,0.0,0.0,53.515824157666266,54.114522715772125,54.315346607099485,53.76747132088551,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2024/12/10,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,50.541429280645886,1038.HK
2025-07-04,1038.HK,53.0,53.0,52.150001525878906,52.95000076293945,52.21234130859375,769801,0.0,0.0,52.41133287657171,52.127707160497685,51.736911625614624,51.73129362177829,True,True,LH,LHLLHH,50.79999923706055,2025-07-14,55.5,2025-07-28,56.0,51.0,51.0,SB1-2025/07/04,False,False,False,False,False,False,True,0.9,9,4,4.0,1.0,True,53.4,56.0,58.6,61.2,False,50.95691427387845,1038.HK
2025-08-18,1038.HK,54.0,54.0,53.0,53.09999847412109,52.36024856567383,2429723,0.0,0.0,54.39725192506597,54.19943584826389,53.3711047856134,52.71616697091401,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/07/04,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,51.56939134795224,1038.HK
2025-10-31,1038.HK,51.0,51.04999923706055,50.5,50.54999923706055,50.54999923706055,1909898,0.0,0.0,51.43175537513299,51.72628623435237,52.10632778616696,52.27443033420212,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/07/04,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,False,51.74486649921461,1038.HK
2024-12-30,0011.HK,95.3000030517578,96.1999969482422,94.8499984741211,95.3499984741211,89.70621490478516,1578328,0.0,0.0,94.20684761118768,94.21343333065006,94.51936298139226,95.16448492809631,False,False,LH,LHLLHH,90.8000030517578,2025-01-13,98.8499984741211,2025-02-04,99.8000030517578,91.5999984741211,91.0999984741211,SB1-2024/12/30,False,False,False,False,False,False,True,0.75,9,1,4.0,4.0,True,95.3,99.8000030517578,104.3000061035156,108.8000091552734,False,94.8998056276872,11.HK
2025-04-08,0011.HK,97.8000030517578,98.9000015258789,94.3000030517578,94.5500030517578,91.621337890625,4940057,0.0,0.0,102.78831698412154,104.42006688686688,103.39604198860744,100.9818629618192,False,False,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2024/12/30,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,False,97.90414576948032,11.HK
2025-04-15,0011.HK,99.0999984741211,99.5999984741211,98.5500030517578,99.25,96.17575073242188,1341563,0.0,0.0,99.43255315009624,101.78527781597546,102.25035864062914,100.6051462230046,False,False,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2024/12/30,False,True,False,False,False,False,False,0.0,0,0,,,False,,,,,False,97.868354330249,11.HK
