Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,SNO
2001-02-22,0001.HK,68.6129379272461,68.97029876708984,67.71954345703125,68.25557708740234,23.46888732910156,7235235,0.0,0.0,70.15342525491452,71.08944660848455,70.8619442598365,69.70288133466427,68.74200805771117,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2000/11/28,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1.HK
2001-03-22,0001.HK,60.75104141235352,60.75104141235352,58.42820739746094,58.78556442260742,20.212722778320312,6845006,0.0,0.0,62.83449991010455,64.96582096183968,67.29222052595608,68.01361040360621,68.14103195604443,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2000/11/28,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1.HK
2001-07-09,0001.HK,57.35612869262695,58.9642448425293,57.35612869262695,58.9642448425293,20.662826538085938,7400535,0.0,0.0,60.26040628300479,61.21648834417984,62.28215598495542,63.52906229998163,65.50231392762664,False,False,52.53178024291992,55.74801254272461,57.53480911254883,53.42517852783203,53.42517852783203,BY1-2001/04/06,True,False,False,False,False,False,False,0.0,0,0,False,False,LL,LLLLLH,2001-07-30,2001-08-03,,,1.HK
2001-07-26,0001.HK,56.10537338256836,56.28404998779297,53.60385894775391,53.96121597290039,18.90961647033692,8775207,0.0,0.0,56.7453412787911,58.26390183325432,60.249395275142994,62.14010270612986,64.72961345390308,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2001/04/06,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1.HK
2005-04-18,0001.HK,50.030269622802734,50.74498748779297,50.030269622802734,50.56630706787109,20.180662155151367,9516617,0.0,0.0,50.87784404403381,50.74207506755306,50.97343201926681,50.72411331936372,48.70773228530589,False,True,53.42517852783203,50.74498748779297,51.81706237792969,50.030269622802734,49.13687133789063,BY1-2005/03/18,True,False,False,False,False,False,False,0.0,0,0,False,False,HL,HLHHLH,2005-05-06,2005-05-17,,,1.HK
2005-04-25,0001.HK,51.28102493286133,51.81706237792969,51.28102493286133,51.63838577270508,20.6085205078125,7343776,0.0,0.0,51.01231118251121,50.84312044933806,50.97558115167856,50.74773292808739,48.796224038831326,False,True,0.0,0.0,0.0,0.0,0.0,TP1-2005/03/18,False,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1.HK
2005-05-06,0001.HK,52.7104606628418,53.42517852783203,52.7104606628418,52.88914108276367,21.10768699645996,7121783,0.0,0.0,52.248246295373846,51.703525532993886,51.38851771056654,51.00297854982564,49.02388483235328,True,True,51.81706237792969,49.49422836303711,49.3155517578125,50.92366409301758,50.030269622802734,TP2-2005/03/18,False,False,True,False,False,False,False,0.0,0,0,False,False,HH,HHLHLL,2005-05-17,2005-05-25,,,1.HK
2005-06-28,0001.HK,54.67593765258789,54.8546142578125,54.139896392822266,54.497257232666016,22.347455978393555,11102886,0.0,0.0,53.34020939656893,52.4646947430257,51.815293257198455,51.37998277229819,49.67378137951504,True,True,52.88914108276367,59.92911529541016,60.679569244384766,51.28102493286133,50.74498748779297,TP3-2005/03/18,False,False,False,True,False,False,False,0.0,0,0,False,False,HH,HHHLHH,2005-07-08,2005-07-25,,,1.HK
2021-01-25,0001.HK,56.5,56.70000076293945,54.20000076293945,54.900001525878906,42.33576965332031,13630331,0.0,0.0,56.71408481505253,56.37869625910987,55.161082103477575,53.92713012848344,56.56147663336676,False,True,53.29999923706055,52.5,52.5,54.20000076293945,53.900001525878906,BY1-2020/12/11,True,False,False,False,False,False,False,0.0,0,0,False,False,LL,LLLLHL,2021-01-29,2021-02-08,,,1.HK
2021-02-23,0001.HK,56.5,58.20000076293945,56.45000076293945,58.09999847412109,44.80343246459961,13312089,0.0,0.0,55.5601349042368,55.30566514241043,55.00967338165695,54.194068448201634,56.32270924514791,False,True,0.0,0.0,0.0,0.0,0.0,TP1-2020/12/11,False,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1.HK
