index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily_Range,Avg_Range,Turn_Threshold,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2000-10-09,0010.HK,7.650000095367432,7.650000095367432,7.349999904632568,7.349999904632568,2.594508647918701,3575201,0.0,0.0,0.3000001907348633,0.1999999795641218,0.2999999693461826,7.568385025216957,7.451892074727169,7.190700264871442,6.919480301512835,,False,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2000/09/20,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,10.HK
2000-11-10,0010.HK,6.699999809265137,6.699999809265137,6.349999904632568,6.400000095367432,2.395827054977417,4914000,0.0,0.0,0.3499999046325683,0.1538461171663724,0.2307691757495586,6.934335473018184,7.087353582204546,7.12756730776965,6.984840661157161,,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2000/09/20,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,,,,,10.HK
2007-08-24,0010.HK,36.0,36.25,34.5,35.79999923706055,17.917367935180664,352200,0.0,0.0,1.75,1.1653847327599158,1.7480770991398735,34.479548839686345,34.909453513308144,34.923964231473114,33.18680603687792,28.372036913219244,False,False,False,HL,HLLHLL,37.20000076293945,2007-08-27,35.150001525878906,2007-08-29,34.25,29.100000381469727,29.100000381469727,BY1-2007/08/13,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,10.HK
2007-09-05,0010.HK,38.0,39.79999923706055,38.0,39.5,19.7691593170166,1538763,0.0,0.0,1.7999992370605469,1.4199999491373694,2.129999923706054,36.79553639671077,36.033570862690354,35.479031246928166,33.73581270089285,28.898857875561287,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2007/08/13,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,,,,,10.HK
2007-09-24,0010.HK,41.79999923706055,44.650001525878906,41.79999923706055,41.900001525878906,20.97032928466797,1460084,0.0,0.0,2.85000228881836,1.753333536783854,2.630000305175781,40.86457205514196,39.42098528817655,37.62010579539554,35.32844586248942,30.0596588512227,True,True,True,HH,HHHLHH,41.79999923706055,2007-09-27,44.59999847412109,2007-10-02,45.5,35.650001525878906,34.25,TP2-2007/08/13,True,True,True,False,False,True,False,False,False,False,0.0,0,0,False,,,,,,,10.HK
2011-10-21,0010.HK,44.29999923706055,44.400001525878906,42.59999847412109,43.25,23.79630851745605,402355,0.0,0.0,1.8000030517578196,1.5538459190955525,2.3307688786433283,43.83071004573247,43.05702168253058,43.58876393258634,45.14469667268851,46.36260902255386,False,False,False,HL,HLHHHL,49.79999923706055,2011-10-31,46.09999847412109,2011-11-03,45.95000076293945,41.0,36.20000076293945,BY1-2011/09/26,False,False,True,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,10.HK
2011-10-28,0010.HK,47.150001525878906,49.45000076293945,47.0,49.04999923706055,26.98749542236328,758184,0.0,0.0,2.450000762939453,1.8250002179827003,2.7375003269740503,45.89294139151018,44.46973687903468,44.179585274372776,45.30400755991746,46.379816785754265,False,False,True,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2011/09/26,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,,,,,10.HK
2006-10-17,1033.HK,0.9933329820632936,0.9933329820632936,0.9466660022735596,0.9666659832000732,0.9339337348937988,17910000,0.0,0.0,0.046666979789734,0.0300000719726086,0.0450001079589129,0.9800982721832816,0.9995865446671258,1.031066925412679,1.074241059531872,1.0953452739179457,False,False,False,HL,HLHHHL,1.0133329629898071,2006-10-26,0.959999978542328,2006-10-27,0.953333020210266,0.8933330178260803,0.8933330178260803,BY1-2006/10/05,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,1033.HK
2006-10-26,1033.HK,1.0066659450531006,1.0133329629898071,0.9733330011367798,0.9800000190734864,0.9468163251876832,27873000,0.0,0.0,0.0399999618530273,0.0312501825392246,0.0468752738088369,0.9760212340733112,0.9872477284708692,1.0168384370902015,1.0609611980277112,1.0886530679918958,False,False,False,HH,HHHLHH,0.953333020210266,2006-10-27,1.0800000429153442,2006-11-09,1.113332986831665,0.8933330178260803,0.8933330178260803,TP1-2006/10/05,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,,,,,1033.HK
2006-11-03,1033.HK,1.0266660451889038,1.0466660261154177,1.0066659450531006,1.0133329629898071,0.9790205359458924,28638000,0.0,0.0,0.0400000810623171,0.0298040614408605,0.0447060921612908,0.9910616804493172,0.9908303374714424,1.0130109506622866,1.0547028080478666,1.0849761329161556,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,TP2-2006/10/05,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,,,,,,,1033.HK
