index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily_Range,Avg_Range,Turn_Threshold,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-10-30,0101.HK,9.050000190734863,9.050000190734863,8.65999984741211,8.6899995803833,8.6899995803833,12386762,0.0,0.0,0.3900003433227539,0.2222222222222222,0.3333333333333333,8.81947030894512,8.770591628488626,8.53550784416537,8.08392094997349,7.583199881946403,True,True,True,LH,LHLLHH,8.319999694824219,2025-11-05,9.399999618530272,2025-11-13,9.479999542236328,8.5,8.430000305175781,SB1-2025/10/30,True,True,True,False,False,False,False,False,False,True,0.83,5,4,0.0,1.0,True,8.9,9.479999542236328,10.059999084472656,10.639998626708984,101.HK
2025-11-21,0101.HK,9.010000228881836,9.010000228881836,8.699999809265137,8.729999542236328,8.729999542236328,12013020,0.0,0.0,0.3100004196166992,0.1557139669145857,0.2335709503718786,9.015819305094013,8.933711686988667,8.729460126565614,8.315133545425695,7.743456693733512,True,True,True,HL,HLLHHL,9.1899995803833,2025-11-26,9.0,2025-11-28,8.850000381469727,8.319999694824219,8.319999694824219,BY1-2025/10/30,True,True,True,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,101.HK
2025-10-03,1038.HK,51.70000076293945,52.20000076293945,51.59999847412109,52.150001525878906,52.150001525878906,1037841,0.0,0.0,0.6000022888183665,0.6333340962727874,1.2666681925455747,51.8594391404007,52.21289143684482,52.55854641581863,52.52426457344868,51.807656443308,False,False,False,LH,LHLLHH,50.75,2025-10-13,52.79999923706055,2025-10-20,53.25,50.79999923706055,50.79999923706055,SB1-2025/10/03,False,False,False,False,False,False,False,False,False,True,0.8,4,1,3.0,0.0,True,52.0,53.25,54.5,55.75,1038.HK
2025-10-21,1038.HK,53.0,53.0,51.900001525878906,52.25,52.25,2589302,0.0,0.0,1.0999984741210938,0.7176471037023212,1.4352942074046424,52.21864439333689,52.15115658564695,52.37269546619228,52.42165777239234,51.822640120290416,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2025/10/03,False,False,False,True,True,False,False,False,False,False,0.0,0,0,,,False,,,,,1038.HK
2025-10-31,1038.HK,51.0,51.04999923706055,50.5,50.54999923706055,50.54999923706055,1909898,0.0,0.0,0.5499992370605469,0.7657892327559626,1.5315784655119251,51.43175537513299,51.72628623435237,52.10632777990389,52.27443074030063,51.79429688740052,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL2-2025/10/03,False,False,False,False,False,False,False,False,True,False,0.0,0,0,,,False,,,,,1038.HK
2025-10-30,1258.HK,14.579999923706056,15.079999923706056,14.369999885559082,15.050000190734863,15.050000190734863,26383049,0.0,0.0,0.7100000381469744,0.8523528716143439,1.2785293074215158,14.275907505376331,13.984513734932005,12.648936516723776,10.752927306012191,8.314614015170314,True,True,True,LH,LHLLHH,12.850000381469728,2025-11-05,15.43000030517578,2025-11-13,15.529999732971191,12.989999771118164,12.989999771118164,SB1-2025/10/30,True,True,True,False,False,False,False,False,False,True,0.83,5,1,2.0,2.0,True,14.19,15.529999732971191,16.869999465942385,18.20999919891357,1258.HK
2025-11-17,1258.HK,14.369999885559082,14.6899995803833,13.859999656677246,14.1899995803833,14.1899995803833,9273849,0.0,0.0,0.8299999237060547,0.7261109352111818,1.089166402816773,14.453516783416552,14.24276812072004,13.283937240240864,11.507657466530109,8.860209536010212,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/30,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,1258.HK
2025-12-01,1258.HK,15.489999771118164,16.579999923706055,15.489999771118164,16.5,16.5,20423998,0.0,0.0,1.0900001525878906,0.6268749237060548,0.9403123855590824,14.625520745649284,14.347630267196196,13.624536436337836,12.010080784978484,9.275162171678543,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2025/10/30,False,False,False,False,True,False,False,False,False,False,0.0,0,0,,,False,,,,,1258.HK
2025-12-03,1258.HK,16.700000762939453,16.799999237060547,16.170000076293945,16.760000228881836,16.760000228881836,11273800,0.0,0.0,0.6299991607666016,0.5899998982747399,0.8849998474121098,15.295431352667258,14.72987708428764,13.856590562035343,12.191675513228647,9.392070128237748,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,TP2-2025/10/30,False,False,False,False,False,True,False,False,False,False,0.0,0,0,,,False,,,,,1258.HK
2025-09-29,1288.HK,5.210000038146973,5.309999942779541,5.179999828338623,5.260000228881836,5.152552604675293,162764386,0.0,0.0,0.1300001144409179,0.1315789222717285,0.1973683834075927,5.273492542008047,5.332796597786902,5.355514752129328,5.254914312635536,4.78211695404602,False,False,False,LH,LHLLHH,5.050000190734863,2025-10-08,6.019999980926514,2025-10-30,6.179999828338623,5.059999942779541,5.059999942779541,SB1-2025/09/29,True,True,True,False,False,False,False,False,False,True,0.8,12,4,6.0,2.0,True,5.62,6.179999828338623,6.739999656677246,7.299999485015869,1288.HK
