index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,EMA250,SNO
2025-11-03,1011.HK,0.7799999713897705,0.8299999833106995,0.7799999713897705,0.7799999713897705,0.7799999713897705,255800,0.0,0.0,0.8128326932149864,0.867327860786164,0.8763455689497275,0.7759592687054775,False,False,False,False,0.0500000119209289,0.041538472358997,0.0623077085384955,LH,LHLLHH,0.6899999976158142,2025-11-05,0.8500000238418579,2025-11-14,0.9100000262260436,0.32,0.7200000286102295,0.7200000286102295,SB1-2025/11/03,False,False,False,False,False,False,False,False,False,False,False,True,1.0,7,5,1.0,1.0,True,0.8,0.9100000262260436,1.0200000524520871,1.1300000786781306,0.5518514018552432,1011.HK
2025-11-14,1025.HK,0.2329999953508377,0.2450000047683715,0.2329999953508377,0.2360000014305114,0.2360000014305114,136000,0.0,0.0,0.2375837342919559,0.2406468737650063,0.2543087784630673,0.2815629901607236,False,False,False,False,0.0120000094175337,0.0141428602593285,0.0212142903889928,LH,LHLLHH,0.2070000022649765,2025-11-25,0.270000010728836,2025-12-04,0.270000010728836,0.3,0.2119999974966049,0.2119999974966049,SB1-2025/11/14,False,False,False,False,False,False,False,False,False,False,False,True,0.83,5,4,1.0,0.0,True,0.24,0.270000010728836,0.300000021457672,0.330000032186508,0.7432913451845514,1025.HK
2025-11-28,1027.HK,3.700000047683716,3.700000047683716,3.5899999141693115,3.5899999141693115,3.5899999141693115,20338,0.0,0.0,3.858742254054412,3.891835806070262,3.457188406292418,2.7210743477613666,False,False,False,False,0.1100001335144043,0.091333262125651,0.1369998931884765,LH,LHLLHH,3.200000047683716,2025-12-04,4.53000020980835,2025-12-11,4.869999885559082,0.52,3.25,3.25,SB1-2025/11/28,True,True,True,False,False,False,False,False,False,False,False,True,1.0,4,2,1.0,0.0,True,4.03,4.869999885559082,5.709999771118164,6.549999656677246,1.8323968722995516,1027.HK
2025-11-24,1037.HK,0.5899999737739563,0.5899999737739563,0.5400000214576721,0.5400000214576721,0.5400000214576721,1266000,0.0,0.0,0.6015906837323126,0.6398350109092854,0.6165154764964228,0.5236506991322316,False,False,False,False,0.0499999523162841,0.0371428515229906,0.0557142772844859,LH,LHLLHH,0.5199999809265137,2025-11-25,0.6800000071525574,2025-12-03,0.7599999904632568,0.46,0.5299999713897705,0.5299999713897705,SB1-2025/11/24,False,False,False,False,False,False,False,False,False,False,False,True,0.83,5,2,3.0,0.0,True,0.64,0.7599999904632568,0.8799999809265137,0.9999999713897704,0.3928944997902719,1037.HK
2025-11-27,1102.HK,0.0410000011324882,0.0430000014603138,0.0410000011324882,0.0430000014603138,0.0430000014603138,256000,0.0,0.0,0.0438680833070271,0.0453896231075393,0.0475800344775533,0.0500200709673723,False,False,False,False,0.0020000003278255,0.0015333327154318,0.0022999990731477,LH,LHLLHH,0.0399999991059303,2025-12-01,0.0469999983906745,2025-12-10,0.0520000010728836,0.3,0.0399999991059303,0.0399999991059303,SB1-2025/11/27,False,False,False,False,False,False,False,False,False,False,False,True,0.83,5,3,1.0,1.0,True,0.05,0.0520000010728836,0.0540000021457671,0.0560000032186507,0.0557738256335609,1102.HK
2025-11-11,1163.HK,0.1260000020265579,0.1260000020265579,0.1260000020265579,0.1260000020265579,0.1260000020265579,1845000,0.0,0.0,0.1278364409842879,0.1304395386943156,0.1319904443816986,0.1313285813218628,False,False,False,False,0.0,0.0032142847776412,0.0048214271664619,LH,LHLLHH,0.1110000014305114,2025-11-21,0.1899999976158142,2025-12-09,0.2080000042915344,0.87,0.1110000014305114,0.1110000014305114,SB1-2025/11/11,False,True,True,False,False,False,False,False,False,False,False,True,0.83,5,3,0.0,2.0,True,0.16,0.2080000042915344,0.2560000085830688,0.3040000128746032,,1163.HK
2025-11-17,1195.HK,0.0209999997168779,0.0219999998807907,0.0209999997168779,0.0219999998807907,0.0219999998807907,800000,0.0,0.0,0.0213189314556497,0.0226667656848622,0.0237001820594337,0.022986705409943,False,False,False,False,0.0010000001639128,0.0010833335109055,0.0016250002663582,LH,LHLLHH,0.0179999992251396,2025-12-03,0.025000000372529,2025-12-15,0.0320000015199184,0.78,0.0189999993890523,0.0189999993890523,SB1-2025/11/17,False,False,False,False,False,False,False,False,False,False,False,True,1.0,4,1,1.0,0.0,True,0.03,0.0320000015199184,0.0340000030398368,0.0360000045597552,0.0207123716067041,1195.HK
2025-12-04,1335.HK,0.1319999992847442,0.1319999992847442,0.1289999932050705,0.1289999932050705,0.1289999932050705,810000,0.0,0.0,0.1328239811952825,0.1329587435747425,0.1331148179332312,0.1352701586093438,False,False,False,False,0.0030000060796737,0.002250000834465,0.0033750012516975,LH,LHLLHH,0.1180000007152557,2025-12-11,0.1400000005960464,2025-12-22,0.1400000005960464,0.19,0.125,0.125,SB1-2025/12/04,False,False,False,False,False,False,False,False,False,False,False,True,1.0,6,3,0.0,0.0,True,0.13,0.1400000005960464,0.1500000011920927,0.1600000017881391,0.1395730325375552,1335.HK
2025-11-12,0145.HK,0.2119999974966049,0.2119999974966049,0.2000000029802322,0.2000000029802322,0.2000000029802322,266000,0.0,0.0,0.2026328142112559,0.2007722948816588,0.1979939503589289,0.1940686956968806,False,True,True,False,0.0119999945163726,0.0110179254641899,0.0165268881962849,LH,LHLLHH,0.1550000011920929,2025-11-21,0.3449999988079071,2025-12-08,0.3700000047683716,1.39,0.1620000004768371,0.1620000004768371,SB1-2025/11/12,False,True,True,False,False,False,False,False,False,False,False,True,0.73,8,5,0.0,3.0,True,0.26,0.3700000047683716,0.4800000095367431,0.5900000143051147,0.2053343037988664,145.HK
2025-10-30,1452.HK,0.0970000028610229,0.1089999973773956,0.0949999988079071,0.1019999980926513,0.1019999980926513,2201000,0.0,0.0,0.1047427797494018,0.105099568921464,0.1013739564296666,0.0938350387092814,False,False,False,False,0.0139999985694884,0.0089374994859099,0.0134062492288649,LH,LHLLHH,0.0829999968409538,2025-11-04,0.1129999980330467,2025-11-21,0.1150000020861625,0.39,0.0839999988675117,0.0839999988675117,SB1-2025/10/30,False,True,True,False,False,False,False,False,False,False,False,True,0.86,6,1,2.0,3.0,True,0.1,0.1150000020861625,0.130000004172325,0.1450000062584874,,1452.HK
