Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_50,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,BOSS1,bullish_ratio,medium_bullish
2025-10-17,9997.HK,8.960000038146973,9.050000190734863,8.960000038146973,8.970000267028809,8.970000267028809,14173500,0.0,0.0,8.928827393323791,8.886511788170212,8.687635810426908,8.261769782573733,7.36197913978001,True,True,True,False,HH,HHHL-H,8.960000038146973,2025-10-20,8.970000267028809,2025-10-24,False,0.0,0
2025-10-17,9638.HK,24.520000457763672,24.540000915527344,24.5,24.540000915527344,24.540000915527344,5100,0.0,0.0,25.049361401181315,24.933368132934973,24.708765929018863,24.273651680260198,23.85477913869761,True,True,True,False,HL,HLLH-L,24.540000915527344,2025-10-21,24.540000915527344,2025-10-24,False,0.0,0
2025-10-17,3969.HK,3.559999942779541,3.559999942779541,3.4600000381469727,3.4800000190734863,3.4800000190734863,6460000,0.0,0.0,3.5494571346301984,3.5268212316013603,3.4801515505534484,3.396067797325948,3.2156905715230257,True,True,True,False,HL,HLLH-L,3.559999942779541,2025-10-21,3.4800000190734863,2025-10-24,False,0.0,0
2025-10-17,2360.HK,2.0899999141693115,2.109999895095825,2.0899999141693115,2.0899999141693115,2.0899999141693115,418000,0.0,0.0,2.103839214083948,2.0997813927161246,2.0670604486032778,1.9682256896888672,1.7761979752224244,True,True,True,False,,,0.0,,0.0,,False,0.0,0
2025-10-17,1836.HK,15.40999984741211,15.40999984741211,15.25,15.329999923706056,15.329999923706056,1389000,0.0,0.0,15.463081537965628,15.454882585618773,15.369233941384984,15.10571277403646,14.26243305936693,True,True,True,False,,,0.0,,0.0,,False,0.0,0
2025-10-17,1052.HK,4.429999828338623,4.480000019073486,4.389999866485596,4.420000076293945,4.420000076293945,1179165,0.0,0.0,4.423923351030834,4.397289872758496,4.261988730432479,4.059800572190202,3.815159825992645,True,True,True,False,,,0.0,,0.0,,False,0.0,0
2025-10-17,956.HK,4.449999809265137,4.460000038146973,4.329999923706055,4.369999885559082,4.369999885559082,5351858,0.0,0.0,4.329954120579153,4.303317031091506,4.275717610616,4.18376604641535,3.870239080078497,True,True,True,False,HH,HHHL-H,4.329999923706055,2025-10-19,4.369999885559082,2025-10-24,False,0.0,0
2025-10-17,579.HK,2.5199999809265137,2.549999952316284,2.4600000381469727,2.470000028610229,2.470000028610229,13360000,0.0,0.0,2.529619072158785,2.516012741154359,2.4840645588828774,2.4081782306426347,2.179383755967879,True,True,True,False,,,0.0,,0.0,,False,0.0,0
2025-10-17,576.HK,7.670000076293945,7.670000076293945,7.550000190734863,7.619999885559082,7.619999885559082,6726266,0.0,0.0,7.376612241409898,7.283854498277687,7.22870641715858,7.039471643885134,6.385728467540406,True,True,True,False,,,0.0,,0.0,,False,0.0,0
2025-10-17,525.HK,2.539999961853028,2.609999895095825,2.5,2.509999990463257,2.509999990463257,6700000,0.0,0.0,2.5275029916890017,2.4930260632104275,2.3601091214554555,2.198406911257201,2.037222179681309,True,True,True,False,LH,LHHL-H,2.5,2025-10-20,2.509999990463257,2025-10-24,False,0.0,0
