index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily_Range,Avg_Range,Turn_Threshold,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-10-24,1061.HK,4.5,4.510000228881836,4.309999942779541,4.360000133514404,4.360000133514404,536000,0.0,0.0,0.2000002861022949,0.1764706162845387,0.264705924426808,4.599221676913938,4.802146009785248,4.998406604766358,4.910289223981939,4.264669730483514,False,False,False,LH,LHLLHH,4.159999847412109,2025-11-04,4.610000133514404,2025-11-13,4.639999866485596,4.179999828338623,4.179999828338623,SB1-2025/10/24,False,False,False,False,False,False,False,False,False,True,0.71,5,2,1.0,2.0,True,4.4,4.639999866485596,4.879999732971191,5.119999599456786,1061.HK
2025-11-17,1061.HK,4.480000019073486,4.489999771118164,4.349999904632568,4.46999979019165,4.46999979019165,759000,0.0,0.0,0.1399998664855957,0.129375010728836,0.1940625160932541,4.481048328346558,4.538384902901434,4.74276428015561,4.784581802200992,4.282383133255799,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/24,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,1061.HK
2025-12-02,1061.HK,4.159999847412109,4.159999847412109,4.070000171661377,4.119999885559082,4.119999885559082,569000,0.0,0.0,0.0899996757507324,0.120588134316837,0.1808822014752556,4.252133208121261,4.357369575565176,4.573248406506917,4.683428791661076,4.281833730674253,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/10/24,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,1061.HK
2025-09-18,1066.HK,5.920000076293945,6.059999942779541,5.849999904632568,5.980000019073486,5.867303848266602,27817814,0.0,0.0,0.2100000381469726,0.1938887702094184,0.2908331553141276,5.889090042001955,6.047855660455362,6.210465105542747,6.097566579078138,5.79130054143111,False,False,False,LH,LHLLHH,5.519999980926514,2025-09-26,6.28000020980835,2025-10-08,6.300000190734863,5.53000020980835,5.53000020980835,SB1-2025/09/18,False,False,False,False,False,False,False,False,False,True,0.83,5,3,2.0,0.0,True,5.91,6.300000190734863,6.690000381469726,7.08000057220459,1066.HK
2025-10-13,1066.HK,5.78000020980835,5.849999904632568,5.659999847412109,5.840000152587891,5.729942321777344,14288286,0.0,0.0,0.1900000572204589,0.1688888602786594,0.2533332904179891,5.952420910991406,5.947220089086448,6.063425395130227,6.0392955244965565,5.79969262870096,False,False,False,HL,HLLHLL,5.920000076293945,2025-10-14,5.630000114440918,2025-10-23,5.510000228881836,5.519999980926514,5.519999980926514,BY1-2025/09/18,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,1066.HK
2025-10-30,1066.HK,5.639999866485596,5.650000095367432,5.329999923706055,5.360000133514404,5.360000133514404,21302273,0.0,0.0,0.3200001716613769,0.1564705792595358,0.2347058688893037,5.614449850203428,5.718615367652492,5.891760006321058,5.949192557506164,5.783181799424019,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2025/09/18,False,False,False,False,False,False,False,True,False,False,0.0,0,0,,,False,,,,,1066.HK
2025-11-18,0107.HK,5.449999809265137,5.480000019073486,5.28000020980835,5.349999904632568,5.349999904632568,3578000,0.0,0.0,0.1999998092651367,0.1000000513516939,0.1500000770275409,5.365108626471429,5.246096487015114,5.041028807662164,4.846526373600146,4.33836198078219,True,True,True,LH,LHLLHH,5.110000133514404,2025-11-24,5.550000190734863,2025-12-04,5.769999980926514,5.130000114440918,4.949999809265137,SB1-2025/11/18,True,True,True,False,False,False,False,False,False,True,0.75,6,3,1.0,2.0,True,5.44,5.769999980926514,6.099999961853027,6.42999994277954,107.HK
2025-12-12,0107.HK,5.650000095367432,5.650000095367432,5.440000057220459,5.480000019073486,5.480000019073486,1508000,0.0,0.0,0.2100000381469726,0.1266666412353515,0.1899999618530273,5.528150651106994,5.446820162273723,5.260530708399251,5.031102548424443,4.487426898119746,True,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/11/18,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,107.HK
2025-10-28,1070.HK,9.68000030517578,9.760000228881836,9.470000267028809,9.520000457763672,9.520000457763672,5411359,0.0,0.0,0.2899999618530273,0.3880000432332354,0.5820000648498531,9.652188922870195,9.893615362073469,10.008192731268275,9.8058655477154,8.57858369112166,False,False,False,LH,LHLLHH,8.90999984741211,2025-11-05,10.289999961853027,2025-11-17,10.359999656677246,9.100000381469728,9.100000381469728,SB1-2025/10/28,False,False,False,False,False,False,False,False,False,True,0.75,6,4,2.0,0.0,True,9.63,10.359999656677246,11.089999313354491,11.819998970031737,1070.HK
2025-11-18,1070.HK,10.279999732971191,10.289999961853027,9.619999885559082,9.670000076293944,9.670000076293944,9339235,0.0,0.0,0.6700000762939453,0.243333180745443,0.3649997711181645,9.739053815000304,9.698330016593165,9.815490771545909,9.739435333654916,8.678232186201845,False,False,False,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2025/10/28,False,False,False,True,False,False,False,False,False,False,0.0,0,0,,,False,,,,,1070.HK
2025-11-27,1070.HK,9.760000228881836,10.489999771118164,9.619999885559082,10.31999969482422,10.31999969482422,11795936,0.0,0.0,0.869999885559082,0.2684613741361183,0.4026920612041774,9.80443007205444,9.73682419172195,9.80185933915577,9.74106481957349,8.736455708455113,False,False,False,HH,HHHLHH,10.010000228881836,2025-12-01,10.989999771118164,2025-12-04,11.5600004196167,9.029999732971191,8.90999984741211,TP1-2025/10/28,True,True,True,False,True,False,False,False,False,False,0.0,0,0,,,False,,,,,1070.HK
