Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_150,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,SNO
2025-10-16,1393.HK,0.0610000006854534,0.0640000030398368,0.0610000006854534,0.0630000010132789,0.0630000010132789,1296000,0.0,0.0,0.0616827771009503,0.0619070772259381,0.0628055191973859,0.0631495479158596,0.0728064063822703,False,False,0.0520000010728836,0.0649999976158142,0.0799999982118606,0.0579999983310699,,False,False,False,False,False,True,1.0,1,0,False,False,LH,LHLLHH,2025-10-31,2025-11-03,1.0,0.0,,,,1393.HK
2025-10-22,1466.HK,0.5299999713897705,0.550000011920929,0.5299999713897705,0.550000011920929,0.550000011920929,128000,0.0,0.0,0.5315915296857373,0.5395234205157049,0.5685041423207653,0.5885223763442159,0.5962496488542681,False,False,0.4799999892711639,0.5699999928474426,0.6800000071525574,0.4900000095367431,,False,False,False,False,False,True,0.8,4,3,False,False,LH,LHLLHH,2025-10-24,2025-11-03,0.0,1.0,,,,1466.HK
2025-10-14,1488.HK,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,64000,0.0,0.0,0.6107675195791082,0.6605157256064299,0.7606495875519877,0.8439422848371644,0.8993134412070471,False,False,0.4399999976158142,0.7400000095367432,0.7699999809265137,0.449999988079071,,False,False,False,False,False,True,1.0,1,1,False,False,LH,LHLLHH,2025-10-30,2025-11-05,0.0,0.0,,,,1488.HK
2025-10-13,1626.HK,2.869999885559082,2.869999885559082,2.700000047683716,2.700000047683716,2.700000047683716,588000,0.0,0.0,2.7293031544199584,2.71432511384417,2.747434773193751,2.843848925194906,2.971893071735453,False,False,2.509999990463257,2.890000104904175,2.900000095367432,2.549999952316284,,False,False,False,False,False,True,0.5,4,1,False,False,LH,LHLLHH,2025-10-20,2025-10-31,2.0,1.0,,,,1626.HK
2025-10-10,1846.HK,3.180000066757202,3.2300000190734863,3.140000104904175,3.2300000190734863,3.2300000190734863,29000,0.0,0.0,3.1489753975674826,3.130438491443022,3.105830567014814,3.110347819802528,3.42864144384546,False,True,2.9800000190734863,3.3499999046325684,3.3499999046325684,2.990000009536743,,False,False,False,False,False,True,0.5,4,3,False,False,LH,LHLLHH,2025-10-17,2025-10-30,0.0,1.0,,,,1846.HK
2025-10-08,1858.HK,15.720000267028809,16.469999313354492,15.720000267028809,16.299999237060547,16.299999237060547,158000,0.0,0.0,16.042318629318416,16.017812658902923,15.63117577098446,14.359201255453211,12.122787270669544,True,True,14.289999961853027,17.600000381469727,18.68000030517578,14.8100004196167,,False,False,False,False,False,True,0.71,5,0,False,False,LH,LHLLHH,2025-10-13,2025-10-22,4.0,1.0,,,,1858.HK
2025-10-09,0222.HK,3.1700000762939453,3.1700000762939453,3.0899999141693115,3.0899999141693115,3.0899999141693115,20000,0.0,0.0,3.0964760198413197,3.123274545950049,3.018129683983199,2.763922382139093,2.532658311661496,False,False,2.890000104904175,3.440000057220459,3.619999885559082,2.9100000858306885,SB1-2025/10/09,False,False,False,False,False,True,0.8,8,4,True,False,LH,LHLLHH,2025-10-13,2025-10-27,4.0,0.0,3.25,3.619999885559082,3.989999771118164,222.HK
2025-10-21,0030.HK,0.2419999986886978,0.2469999939203262,0.2419999986886978,0.2419999986886978,0.2419999986886978,366000,0.0,0.0,0.2457969993647368,0.2515969055248283,0.2554201260044125,0.2437905874581945,0.2126569686740143,False,False,0.2360000014305114,0.2549999952316284,0.2549999952316284,0.2380000054836273,,False,False,False,False,False,True,1.0,5,1,False,False,LH,LHLLHH,2025-10-22,2025-10-30,1.0,1.0,,,,30.HK
2025-10-10,0553.HK,5.099999904632568,5.179999828338623,4.929999828338623,4.96999979019165,4.96999979019165,6530000,0.0,0.0,5.06854522453142,5.1728137515904,5.167967397986206,4.849707870637283,4.121793045974275,False,False,4.630000114440918,5.230000019073486,5.289999961853027,4.659999847412109,,False,False,False,False,False,True,0.64,9,1,False,False,LH,LHLLHH,2025-10-14,2025-11-09,3.0,5.0,,,,553.HK
2025-10-10,0568.HK,4.159999847412109,4.230000019073486,4.119999885559082,4.150000095367432,4.150000095367432,20578800,0.0,0.0,4.142912992914347,4.1512430010224,4.12342611012533,3.786967857578276,2.9008668760357263,False,False,3.9600000381469727,5.03000020980835,5.150000095367432,4.039999961853027,,False,False,False,False,False,True,0.62,5,1,False,False,LH,LHLLHH,2025-10-13,2025-10-23,1.0,3.0,,,,568.HK
