index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,classification,PATTERN,LLDate,HHDate,SNO
2025-12-17,1501.HK,31.0,31.0,30.799999237060547,31.0,31.0,8000,0.0,0.0,30.738856876996056,30.53788548434055,30.463621687885656,29.956689850377614,28.814792864821467,True,True,True,True,0.2000007629394531,0.4800002234322674,0.7200003351484011,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-18,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.4384617438683132,0.6576926158024698,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-19,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.5071428843906938,0.7607143265860407,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-20,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.4785713468279147,0.7178570202418721,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-21,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.5959999084472649,0.8939998626708974,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-22,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.5239997863769524,0.7859996795654287,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-23,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.4853329976399732,0.7279994964599599,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-24,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.4279996236165357,0.6419994354248036,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-25,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.4587495326995845,0.6881242990493768,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-26,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.4612494707107539,0.6918742060661309,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-27,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.486249446868896,0.7293741703033441,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-28,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47800,0.0,0.0,30.786337444814954,30.57806935526746,30.48465613149798,29.977349457300832,28.832204873866715,True,True,True,True,0.6199989318847656,0.5062494277954097,0.7593741416931146,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-17,1857.HK,1.559999942779541,1.559999942779541,1.5399999618530271,1.5499999523162842,1.5499999523162842,203000,0.0,0.0,1.5539023355315278,1.547759923463668,1.5334498634982403,1.5131368408619403,1.4687799418549827,True,True,True,True,0.0199999809265138,0.0149999942098345,0.0224999913147518,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-18,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0166666587193807,0.024999988079071,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-19,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0153333266576131,0.0229999899864197,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-20,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0153333266576131,0.0229999899864197,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-21,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0146666606267293,0.021999990940094,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-22,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0139999945958455,0.0209999918937683,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-23,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0149999931454659,0.0224999897181988,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-24,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0156249925494194,0.0234374888241291,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-25,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0162499919533729,0.0243749879300594,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-26,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0168749913573265,0.0253124870359898,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-27,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0176470490062938,0.0264705735094407,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-28,1857.HK,1.5399999618530271,1.5499999523162842,1.5299999713897705,1.5399999618530271,1.5399999618530271,268000,0.0,0.0,1.5513746312263457,1.5470851441931774,1.533706730100389,1.513668783851863,1.4693474320541704,True,True,True,True,0.0199999809265136,0.0183333290947808,0.0274999936421712,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1857.HK
2025-12-17,1883.HK,2.5299999713897705,2.549999952316284,2.5199999809265137,2.539999961853028,2.539999961853028,2306687,0.0,0.0,2.5588775340367054,2.557600520969178,2.538275418788402,2.5111699044135767,2.4736949598226365,True,True,True,True,0.0299999713897705,0.0287499725818633,0.043124958872795,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1883.HK
2025-12-17,0357.HK,10.699999809265137,10.81999969482422,10.699999809265137,10.729999542236328,10.729999542236328,1165000,0.0,0.0,10.615721419475303,10.553488660122834,10.53096481159491,10.473358854049044,9.926343739893186,True,True,True,True,0.1199998855590838,0.1018750071525574,0.1528125107288362,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,357.HK
2025-12-18,0357.HK,10.699999809265137,11.199999809265137,10.68000030517578,10.75,10.75,6099275,0.0,0.0,10.64013570684343,10.57057660272085,10.539554426826482,10.478836896543124,9.932906737981687,True,True,True,True,0.5199995040893572,0.106249988079071,0.1593749821186065,10.68000030517578,10.75,11.199999809265137,10.300000190734863,10.279999732971191,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,HH,HHHLLH,2025-12-19,2025-12-20,357.HK
2025-12-19,0357.HK,10.699999809265137,11.199999809265137,10.68000030517578,10.75,10.75,6099275,0.0,0.0,10.64013570684343,10.57057660272085,10.539554426826482,10.478836896543124,9.932906737981687,True,True,True,True,0.5199995040893572,0.128749966621399,0.1931249499320985,11.199999809265137,10.75,10.68000030517578,10.300000190734863,10.279999732971191,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,HL,HLLHLL,2025-12-20,2025-12-21,357.HK
2025-12-20,0357.HK,10.699999809265137,11.199999809265137,10.68000030517578,10.75,10.75,6099275,0.0,0.0,10.64013570684343,10.57057660272085,10.539554426826482,10.478836896543124,9.932906737981687,True,True,True,True,0.5199995040893572,0.1568749547004702,0.2353124320507053,10.68000030517578,10.75,11.199999809265137,10.300000190734863,10.279999732971191,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,LH,LHLLLH,2025-12-21,2025-12-22,357.HK
2025-12-21,0357.HK,10.699999809265137,11.199999809265137,10.68000030517578,10.75,10.75,6099275,0.0,0.0,10.64013570684343,10.57057660272085,10.539554426826482,10.478836896543124,9.932906737981687,True,True,True,True,0.5199995040893572,0.1831249594688418,0.2746874392032628,11.199999809265137,10.75,10.68000030517578,10.300000190734863,10.279999732971191,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,LL,LLLHLL,2025-12-22,2025-12-23,357.HK
2025-12-22,0357.HK,10.699999809265137,11.199999809265137,10.68000030517578,10.75,10.75,6099275,0.0,0.0,10.64013570684343,10.57057660272085,10.539554426826482,10.478836896543124,9.932906737981687,True,True,True,True,0.5199995040893572,0.2099999189376835,0.3149998784065253,10.68000030517578,10.75,11.199999809265137,10.300000190734863,10.279999732971191,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,LH,LHLLLH,2025-12-23,2025-12-24,357.HK
2025-12-23,0357.HK,10.699999809265137,11.199999809265137,10.68000030517578,10.75,10.75,6099275,0.0,0.0,10.64013570684343,10.57057660272085,10.539554426826482,10.478836896543124,9.932906737981687,True,True,True,True,0.5199995040893572,0.2374998927116401,0.3562498390674602,11.199999809265137,10.75,10.68000030517578,10.350000381469728,10.279999732971191,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,LL,LLLHLL,2025-12-24,2025-12-25,357.HK
