Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_50,LLLow,HHClose,HHHigh,BOSS1,bullish_count,bullish_ratio,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1,tp2
2025-10-21,9633.HK,54.54999923706055,55.400001525878906,54.54999923706055,55.04999923706055,55.04999923706055,3492297,0.0,0.0,54.14573272518945,53.48223434222696,51.211860122762985,47.48795028908914,42.05295511093363,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,2688.HK,67.80000305175781,68.0,67.05000305175781,67.1500015258789,67.1500015258789,2617679,0.0,0.0,66.19879121124595,65.46693399838793,64.76052197512819,63.52044934912545,60.97662147865073,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,2380.HK,3.359999895095825,3.380000114440918,3.319999933242798,3.3399999141693115,3.3399999141693115,16497081,0.0,0.0,3.337524752326386,3.3225506745236464,3.278104920977017,3.197961771930615,3.096481635356209,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,2318.HK,54.900001525878906,56.5,54.70000076293945,55.900001525878906,55.900001525878906,61340397,0.0,0.0,54.25572014405575,54.05613787805023,53.805137265806565,52.1506815498912,47.6409097568905,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,1179.HK,30.21999931335449,30.239999771118164,29.84000015258789,30.07999992370605,30.07999992370605,794308,0.0,0.0,29.498751723613445,29.47537475451152,28.829144972495307,28.10721072597203,27.538801356558817,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,883.HK,19.049999237060547,19.46999931335449,19.049999237060547,19.31999969482422,19.31999969482422,99422577,0.0,0.0,18.93404675457025,18.925533267810703,18.74076579086044,18.29659157640805,17.477197574704267,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,392.HK,34.119998931884766,34.36000061035156,33.91999816894531,33.939998626708984,33.939998626708984,428774,0.0,0.0,33.555454687636164,33.413135294677794,33.0818399635663,32.20813489621059,29.762784302827907,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,101.HK,9.0,9.140000343322754,8.869999885559082,8.899999618530273,8.899999618530273,9910102,0.0,0.0,8.832145201324737,8.736565558204731,8.439915005136836,7.912214444034196,7.220935294734746,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,83.HK,10.229999542236328,10.369999885559082,10.199999809265137,10.220000267028809,10.220000267028809,4879938,0.0,0.0,10.14955513709246,10.047234259546904,9.775928126942066,9.329004560769167,8.637346673990988,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,16.HK,94.6500015258789,94.9499969482422,93.5500030517578,93.6999969482422,93.6999969482422,4095164,0.0,0.0,94.30202650332818,94.18537224306668,93.37395441258876,90.6068889628676,84.36245515249821,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
2025-10-21,12.HK,27.57999992370605,27.71999931335449,27.39999961853028,27.540000915527344,27.540000915527344,3032013,0.0,0.0,27.377377939192577,27.35945056229317,27.132396021755092,26.274035389043448,24.29568166291812,True,True,True,False,0.0,0.0,0.0,False,0,0.0,0,0,0,0.0,0.0,0.0
