index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,EMA250,SNO
2025-12-29,1011.HK,0.9800000190734864,1.0,0.8799999952316284,0.8799999952316284,0.8799999952316284,1783950,0.0,0.0,0.8355950631388934,0.825227359949585,0.8285164173585627,0.7908804291479188,False,False,False,False,0.1200000047683715,0.0146153890169583,0.0219230835254375,HH,HHLLLH,0.8199999928474426,2026-01-02,0.8500000238418579,2026-01-03,0.8500000238418579,0.04,0.7699999809265137,0.7699999809265137,TP1-2025/11/03,True,True,True,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.6111235176831535,1011.HK
2026-01-02,1037.HK,0.7400000095367432,0.7900000214576721,0.6700000166893005,0.7599999904632568,0.7599999904632568,4338000,0.0,0.0,0.6713146375419635,0.6545474369587106,0.6356680712930085,0.5694184705384523,True,True,True,False,0.1200000047683715,0.040666663646698,0.060999995470047,HH,HHHLLH,0.6700000166893005,2026-01-03,0.7599999904632568,2026-01-04,0.7900000214576721,0.18,0.5799999833106995,0.5799999833106995,TP1-2025/11/24,True,True,True,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.4373057382383691,1037.HK
2026-01-02,1335.HK,0.1330000013113021,0.1400000005960464,0.1330000013113021,0.135000005364418,0.135000005364418,138000,0.0,0.0,0.1360683037259355,0.1338159453160385,0.133139259464304,0.134769629666811,False,False,True,False,0.0069999992847442,0.0015454563227566,0.0023181844841349,HL,HLLHLL,0.1400000005960464,2026-01-03,0.135000005364418,2026-01-04,0.1330000013113021,-0.05,0.125,0.1180000007152557,BY1-2025/12/04,False,False,True,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.1391632804730823,1335.HK
2026-01-02,1442.HK,0.3300000131130218,0.3300000131130218,0.3300000131130218,0.3300000131130218,0.3300000131130218,25000,0.0,0.0,0.3428021628925374,0.3470986837482251,0.3447385257604733,0.3361741368620453,False,False,False,False,0.0,0.0013157882188495,0.0019736823282743,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TU2-2025/08/13,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,0.3612271298563564,1442.HK
2026-01-02,6033.HK,0.699999988079071,0.699999988079071,0.6499999761581421,0.6600000262260437,0.6600000262260437,36000,0.0,0.0,0.6419673761728659,0.6443588748174378,0.6652957487379195,0.6797117877265626,False,False,False,False,0.0500000119209289,0.0164285685334886,0.024642852800233,HL,HLLHLL,0.699999988079071,2026-01-03,0.6600000262260437,2026-01-04,0.6499999761581421,-0.07,0.6000000238418579,0.6000000238418579,TP1-2025/12/15,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0,0,False,0.703620341247621,6033.HK
2025-12-26,6100.HK,3.7799999713897705,3.900000095367432,3.75,3.890000104904175,3.890000104904175,1254400,0.0,0.0,3.803602607202,3.728869814668361,3.662151014961702,3.688158512216108,False,False,True,False,0.150000095367432,0.1472222937477962,0.2208334406216944,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TU1-2025/11/25,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,3.6886250021011993,6100.HK
2026-01-02,0620.HK,0.7200000286102295,0.7300000190734863,0.6299999952316284,0.6299999952316284,0.6299999952316284,1890100,0.0,0.0,0.6445042773750025,0.6407929221325459,0.6858593364941636,0.6878277496321364,False,False,False,False,0.1000000238418579,0.059333328406016,0.088999992609024,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/12/18,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,,620.HK
2025-12-29,6609.HK,48.52000045776367,54.25,48.52000045776367,53.75,53.75,153650,0.0,0.0,50.854433829705016,49.73600432637169,50.81068280668317,50.50746268946301,False,False,False,False,5.729999542236328,2.0721427372523737,4.144285474504748,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/11/25,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,42.90076129268355,6609.HK
2026-01-02,6609.HK,53.79999923706055,55.900001525878906,53.25,54.59999847412109,54.59999847412109,321150,0.0,0.0,51.96619096394024,50.4776518671824,51.07003047412789,50.65144020303886,False,False,False,False,2.6500015258789062,2.134999956403461,4.269999912806922,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/11/25,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,43.07974159365219,6609.HK
2025-12-28,6633.HK,2.5299999713897705,2.700000047683716,2.5299999713897705,2.700000047683716,2.700000047683716,12500,0.0,0.0,2.93984413288506,3.05029980998085,3.1216158699215635,3.1600199650782783,False,False,False,False,0.1700000762939453,0.1205555995305379,0.1808333992958068,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TU2-2025/10/20,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,3.609610844667393,6633.HK
2026-01-02,8146.HK,0.3849999904632568,0.3849999904632568,0.3499999940395355,0.3650000095367431,0.3650000095367431,7730000,0.0,0.0,0.246393549812775,0.1994048617933845,0.1658124589698624,0.1584375362118202,False,True,True,False,0.0349999964237212,0.0240769243011107,0.0361153864516661,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/11/20,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,,8146.HK
2025-12-29,9963.HK,1.100000023841858,1.350000023841858,1.100000023841858,1.159999966621399,1.159999966621399,782000,0.0,0.0,0.7548410842866453,0.6041636540372082,0.4932127532935129,0.4208773929361128,False,True,True,False,0.25,0.072692307142111,0.1090384607131665,HH,HHHLHH,1.0499999523162842,2026-01-02,1.3600000143051147,2026-01-03,1.3600000143051147,0.3,0.4950000047683716,0.4250000119209289,TP2-2025/11/13,False,True,True,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,9963.HK
