index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily_Range,Avg_Range,Turn_Threshold,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,classification,PATTERN,LLDate,HHDate,SNO
2025-12-11,1102.HK,0.0480000004172325,0.050000000745058,0.0450000017881393,0.050000000745058,0.050000000745058,558000,0.0,0.0,0.0049999989569186,0.0014999998467309,0.0022499997700963,0.0449843102998325,0.0449093794876408,0.046566432926891,0.0490511434425194,0.0553509760308739,False,False,False,False,0.050000000745058,0.050000000745058,0.0450000017881393,0.0399999991059303,0.0399999991059303,BY1-2025/11/27,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,HL,HLLHLL,2025-12-12,2025-12-13,1102.HK
2025-12-12,1163.HK,0.1700000017881393,0.1700000017881393,0.1500000059604644,0.1500000059604644,0.1500000059604644,378053,0.0,0.0,0.0199999958276748,0.0090000027169783,0.0135000040754675,0.1624409854195156,0.1508644718469017,0.1419557777983323,0.136866728486478,,False,True,True,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/11/11,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,1163.HK
2025-12-16,1195.HK,0.025000000372529,0.025000000372529,0.0209999997168779,0.0209999997168779,0.0209999997168779,7216000,0.0,0.0,0.004000000655651,0.0006666667759418,0.0010000001639127,0.0203789781652153,0.0207089491484148,0.022029810146625,0.0221979407317718,0.0206083601410964,False,False,False,False,0.025000000372529,0.0209999997168779,0.0209999997168779,0.0179999992251396,0.0179999992251396,BY1-2025/11/17,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,HL,HLLHLL,2025-12-17,2025-12-18,1195.HK
2025-12-12,1592.HK,0.2280000001192093,0.2599999904632568,0.1949999928474426,0.1979999989271164,0.1979999989271164,5044500,0.0,0.0,0.0649999976158141,0.0292142874428204,0.0438214311642306,0.2615765607228977,0.2748582998703476,0.2799398293591307,0.2902776355772074,0.3262532671581128,False,False,False,False,0.0,0.0,0.0,0.0,0.0,CL2-2025/10/09,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,,,,,1592.HK
2025-12-12,1601.HK,0.8700000047683716,0.8700000047683716,0.8500000238418579,0.8600000143051147,0.8600000143051147,8000,0.0,0.0,0.0199999809265136,0.0140000065167744,0.0210000097751617,0.8647388537885724,0.8640197302890612,0.8681741789608701,0.8691648026211833,0.8306744091569137,False,False,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/11/20,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,1601.HK
2025-12-12,1830.HK,1.3799999952316284,1.3799999952316284,1.3300000429153442,1.3600000143051147,1.3600000143051147,842072,0.076,0.0,0.0499999523162841,0.02214287008558,0.03321430512837,1.413773597489602,1.4102456810036594,1.429691636033183,1.5278698343503765,1.838320813579912,False,False,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/11/10,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,1830.HK
2025-12-12,1894.HK,0.0309999994933605,0.0309999994933605,0.025000000372529,0.0260000005364418,0.0260000005364418,74890000,0.0,0.0,0.0059999991208315,0.0012142863124608,0.0018214294686913,0.0305680728424589,0.0312021960701716,0.0315845290929981,0.0314776046816824,0.0484617036756805,False,False,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/09/29,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,,,1894.HK
2025-12-15,2177.HK,3.440000057220459,3.440000057220459,2.940000057220459,3.369999885559082,3.369999885559082,10800,0.0,0.0,0.5,0.1163636337627063,0.1745454506440595,3.142959686373475,2.942759498723646,2.7933993781097874,2.692438462780113,2.3716033531191907,True,True,True,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/11/27,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,2177.HK
2025-12-11,6100.HK,3.799999952316284,3.869999885559082,3.700000047683716,3.859999895095825,3.859999895095825,847600,0.0,0.0,0.1699998378753662,0.129375085234642,0.1940626278519631,3.799910899628285,3.705973321075973,3.6447086991439006,3.681378359831189,3.68598960477397,False,False,True,False,0.0,0.0,0.0,0.0,0.0,BY1-2025/11/25,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,6100.HK
2025-12-12,8418.HK,0.4550000131130218,0.5299999713897705,0.449999988079071,0.4850000143051147,0.4850000143051147,268000,0.0,0.0,0.0799999833106995,0.0406249985098838,0.0609374977648258,0.449752062149754,0.4417032780727901,0.4419753273282189,0.4452415418923187,0.4630972612819602,False,False,False,False,0.0,0.0,0.0,0.0,0.0,TP2-2025/11/24,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,,,,,8418.HK
