Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,BOSS_STATUS,buy_price,tp1_price,tp2_price,SNO
2025-09-08,1038.HK,52.95000076293945,53.0,52.29999923706055,52.5,51.76860809326172,1362114,0.0,0.0,LH,LHLLHH,51.25,2025-09-10,53.34999847412109,2025-09-17,54.400001525878906,51.79999923706055,False,False,False,False,False,True,0.8,4.0,3.0,0.0,1.0,True,SB1-2025/09/08,52.83,54.400001525878906,55.97000305175781,1038.HK
2025-09-30,1038.HK,51.70000076293945,51.70000076293945,51.04999923706055,51.09999847412109,51.09999847412109,1339472,0.0,0.0,,,0.0,,0.0,,0.0,0.0,False,False,False,True,False,False,0.0,,,,,False,CL1-2025/09/08,,,,1038.HK
2025-09-02,0012.HK,27.18000030517578,27.3799991607666,27.040000915527344,27.15999984741211,26.65999984741211,4584189,0.0,0.0,LH,LHLLHH,25.76000022888184,2025-09-05,28.15999984741211,2025-09-12,28.239999771118164,25.89999961853028,False,False,False,False,False,True,0.8,4.0,2.0,1.0,1.0,True,SB1-2025/09/02,27.0,28.239999771118164,29.479999542236328,12.HK
2025-09-29,1288.HK,5.210000038146973,5.309999942779541,5.179999828338623,5.260000228881836,5.260000228881836,162764386,0.0,0.0,LH,LHLLHH,5.050000190734863,2025-10-08,6.059999942779541,2025-10-27,6.170000076293945,5.059999942779541,False,False,False,False,False,True,0.85,11.0,4.0,5.0,2.0,True,SB1-2025/09/29,5.61,6.170000076293945,6.73000015258789,1288.HK
2025-09-10,0136.HK,2.8299999237060547,2.890000104904175,2.789999961853028,2.8399999141693115,2.8399999141693115,62663200,0.0,0.0,LH,LHLLHH,2.690000057220459,2025-09-18,3.049999952316284,2025-09-24,3.0899999141693115,2.720000028610229,False,False,False,False,False,True,0.5,2.0,2.0,0.0,0.0,False,,,,,136.HK
2025-10-02,0148.HK,27.799999237060547,28.100000381469727,27.479999542236328,27.86000061035156,27.86000061035156,2351100,0.0,0.0,LH,LHLLHH,25.600000381469727,2025-10-13,28.18000030517578,2025-10-16,28.81999969482422,25.89999961853028,False,False,False,False,False,True,0.67,2.0,1.0,0.0,1.0,False,,,,,148.HK
2025-09-19,1548.HK,17.309999465942383,17.559999465942383,16.860000610351562,17.059999465942383,17.059999465942383,11608334,0.0,0.0,LH,LHLLHH,15.359999656677246,2025-09-26,17.65999984741211,2025-10-08,17.65999984741211,15.699999809265137,False,False,False,False,False,True,0.83,5.0,3.0,2.0,0.0,True,SB1-2025/09/19,16.51,17.65999984741211,18.809999694824217,1548.HK
2025-09-03,0016.HK,94.4499969482422,95.4000015258789,91.5,92.0999984741211,92.0999984741211,5922635,0.0,0.0,LH,LHLLHH,88.9000015258789,2025-09-05,97.5,2025-09-10,97.8499984741211,89.5999984741211,False,False,False,False,False,True,0.67,2.0,1.0,0.0,1.0,False,,,,,16.HK
2025-09-12,1816.HK,2.9600000381469727,3.0,2.940000057220459,2.990000009536743,2.990000009536743,56268889,0.0,0.0,LH,LHLLHH,2.740000009536743,2025-09-22,3.240000009536743,2025-10-16,3.299999952316284,2.7699999809265137,False,False,False,False,False,True,0.62,10.0,3.0,4.0,3.0,False,,,,,1816.HK
2025-09-24,1988.HK,4.150000095367432,4.179999828338623,4.050000190734863,4.070000171661377,4.070000171661377,24406117,0.0,0.0,LH,LHLLHH,3.990000009536743,2025-09-25,4.21999979019165,2025-10-02,4.269999980926514,4.039999961853027,False,False,False,False,False,True,1.0,4.0,1.0,1.0,2.0,True,SB1-2025/09/24,4.13,4.269999980926514,4.409999961853028,1988.HK
