Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,BOSS2,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,SNO
2025-10-09,1412.HK,1.659999966621399,1.6799999475479126,1.659999966621399,1.6799999475479126,1.6799999475479126,198000,0.0,0.0,LH,LHLLHH,1.6299999952316284,2025-10-13,1.7100000381469729,2025-10-27,1.7200000286102295,1.649999976158142,SB1-2025/10/09,False,False,False,False,False,True,0.67,True,6.0,1.0,1.0,0.0,1.68,1.7200000286102295,1.760000057220459,1412.HK
2025-10-24,1563.HK,0.19200000166893,0.1949999928474426,0.1899999976158142,0.1909999996423721,0.1909999996423721,1068000,0.0,0.0,LL,LLLHHL,0.2029999941587448,2025-10-28,0.1969999969005584,2025-11-03,0.1909999996423721,0.1899999976158142,CL1-2025/08/13,False,False,False,True,False,False,0.0,False,,,,,,,,1563.HK
2025-10-09,1586.HK,2.880000114440918,2.880000114440918,2.650000095367432,2.7799999713897705,2.7799999713897705,100000,0.0,0.0,LH,LHLLHH,2.539999961853028,2025-10-15,2.890000104904175,2025-10-27,2.890000104904175,2.640000104904175,SB1-2025/10/09,False,False,False,False,False,True,0.67,True,4.0,3.0,0.0,1.0,2.72,2.890000104904175,3.0600002098083494,1586.HK
2025-10-03,1599.HK,1.3700000047683716,1.409999966621399,1.3700000047683716,1.399999976158142,1.399999976158142,223000,0.0,0.0,LH,LHLLHH,1.3200000524520874,2025-10-13,1.4600000381469729,2025-10-27,1.4600000381469729,1.350000023841858,SB1-2025/10/03,False,False,False,False,False,True,0.9,True,9.0,3.0,4.0,2.0,1.39,1.4600000381469729,1.530000076293946,1599.HK
2025-10-14,1842.HK,0.0549999997019767,0.0599999986588954,0.0529999993741512,0.0529999993741512,0.0529999993741512,392000,0.0,0.0,LH,LHLL-L,0.0520000010728836,2025-10-15,0.0520000010728836,2025-10-28,0.0520000010728836,0.0529999993741512,CL1-2025/09/08,False,False,False,True,False,False,0.0,False,,,,,,,,1842.HK
2025-10-10,1846.HK,3.180000066757202,3.2300000190734863,3.140000104904175,3.2300000190734863,3.2300000190734863,29000,0.0,0.0,LH,LHLLHH,2.9800000190734863,2025-10-17,3.289999961853028,2025-10-23,3.319999933242798,2.990000009536743,SB1-2025/10/10,False,False,False,False,False,True,0.75,True,3.0,2.0,0.0,1.0,3.15,3.319999933242798,3.489999866485596,1846.HK
2025-10-08,1858.HK,15.720000267028809,16.469999313354492,15.720000267028809,16.299999237060547,16.299999237060547,158000,0.0,0.0,LH,LHLLHH,14.289999961853027,2025-10-13,17.600000381469727,2025-10-22,18.68000030517578,14.8100004196167,SB1-2025/10/08,False,False,False,False,False,True,0.71,True,5.0,0.0,4.0,1.0,16.49,18.68000030517578,20.870000610351564,1858.HK
2025-10-13,1894.HK,0.0309999994933605,0.032999999821186,0.0299999993294477,0.0320000015199184,0.0320000015199184,1105000,0.0,0.0,LH,LHLLHH,0.0289999991655349,2025-10-17,0.0350000001490116,2025-10-23,0.0370000004768371,0.0299999993294477,SB1-2025/10/13,False,False,False,False,False,True,1.0,True,4.0,3.0,0.0,0.0,0.03,0.0370000004768371,0.0440000009536742,1894.HK
2025-10-10,1950.HK,0.2220000028610229,0.238999992609024,0.2179999947547912,0.2199999988079071,0.2199999988079071,1672000,0.0,0.0,LH,LHLLHH,0.2080000042915344,2025-10-13,0.2419999986886978,2025-10-27,0.2460000067949295,0.2179999947547912,SB1-2025/10/10,False,False,False,False,False,True,0.8,True,8.0,2.0,3.0,3.0,0.23,0.2460000067949295,0.262000013589859,1950.HK
2025-10-13,2250.HK,1.1100000143051147,1.149999976158142,1.059999942779541,1.100000023841858,1.100000023841858,1061000,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CL1-2025/07/28,False,False,False,True,False,False,0.0,False,,,,,,,,2250.HK
2025-10-06,3368.HK,0.1539999991655349,0.1539999991655349,0.1410000026226043,0.1410000026226043,0.1410000026226043,2875500,0.0,0.0,LH,LHLLHH,0.1340000033378601,2025-10-10,0.1889999955892563,2025-10-27,0.1940000057220459,0.135000005364418,,False,False,False,False,False,True,0.45,False,5.0,0.0,4.0,1.0,,,,3368.HK
2025-10-10,0413.HK,0.032999999821186,0.0350000001490116,0.0320000015199184,0.0350000001490116,0.0350000001490116,1160000,0.0,0.0,LH,LHLLHH,0.0309999994933605,2025-10-16,0.0359999984502792,2025-10-28,0.0359999984502792,0.0320000015199184,SB1-2025/10/10,False,False,False,False,False,True,0.83,True,5.0,4.0,0.0,1.0,0.03,0.0359999984502792,0.0419999969005584,413.HK
