Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-09-23,1010.HK,0.0930000022053718,0.0939999967813491,0.0930000022053718,0.0939999967813491,0.0939999967813491,42000,0.0,0.0,0.0935314404619425,0.0940673155736567,0.0975112790178392,0.122380140456876,0.3488681352855758,False,False,0.0850000008940696,0.1469999998807907,0.1599999964237213,0.0900000035762786,0.0850000008940696,SB1-2025/09/23,False,False,False,False,False,False,True,0.86,6,4,True,False,LH,LHLLHH,2025-10-13,2025-10-30,0.0,0.0,0.12,0.1599999964237213,0.1999999928474426,0.2399999892711639,1010.HK
2025-11-03,1010.HK,0.1180000007152557,0.1360000073909759,0.1070000007748603,0.1110000014305114,0.1110000014305114,3706000,0.0,0.0,0.1087553350503393,0.1018498163313683,0.0993583307804842,0.1156560341817675,0.3154356352778965,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/23,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,1010.HK
2025-10-09,1098.HK,0.7200000286102295,0.7300000190734863,0.7099999785423279,0.7099999785423279,0.7099999785423279,88261,0.0,0.0,0.7213258278941201,0.7225296301450265,0.7481826416081714,0.8002777131528552,0.930525709499866,False,False,0.6700000166893005,0.7400000095367432,0.75,0.6899999976158142,0.6899999976158142,SB1-2025/10/09,False,False,False,False,False,False,True,0.71,5,4,True,False,LH,LHLLHH,2025-10-17,2025-11-03,0.0,0.0,0.71,0.75,0.79,0.8300000000000001,1098.HK
2025-11-04,1098.HK,0.75,0.75,0.6700000166893005,0.7200000286102295,0.7200000286102295,349000,0.0,0.0,0.7137931415005117,0.7141688811658407,0.7330651831504522,0.7805885391840203,0.910128919535149,False,False,0.0,0.0,0.0,0.0,0.0,TP1-2025/10/09,True,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,1098.HK
2025-11-04,1102.HK,0.0469999983906745,0.0469999983906745,0.0419999994337558,0.0469999983906745,0.0469999983906745,3110000,0.0,0.0,0.0486295377766015,0.0493599296852814,0.0503056450872769,0.051998406186352,0.0571780505533583,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/08/29,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,,,,,1102.HK
2025-10-09,1182.HK,0.5799999833106995,0.5799999833106995,0.5299999713897705,0.5400000214576721,0.5400000214576721,237553,0.0,0.0,0.5062383497670346,0.4848474201335082,0.4854024590637439,0.4592840865295741,,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/08/08,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,1182.HK
2025-11-05,1217.HK,0.0130000002682209,0.0140000004321336,0.0130000002682209,0.0130000002682209,0.0130000002682209,47680000,0.0,0.0,0.0139815297242527,0.0144114642343821,0.0143837337413927,0.0136044789715973,0.012225584288911,False,False,0.0120000001043081,0.0160000007599592,0.0170000009238719,0.0130000002682209,0.0130000002682209,SB1-2025/11/05,False,False,False,False,False,False,True,1.0,5,3,True,False,LH,LHLLHH,2025-11-06,2025-11-13,0.0,2.0,0.01,0.0170000009238719,0.0240000018477438,0.0310000027716157,1217.HK
2025-09-19,1221.HK,1.4299999475479126,1.5,1.4299999475479126,1.5,1.4857594966888428,6000,0.0,0.0,1.4320063326882269,1.4212549130276853,1.4220280804481282,1.470896771261262,,False,True,1.3600000143051147,1.5399999618530271,1.600000023841858,1.3799999952316284,1.3799999952316284,SB1-2025/09/19,False,False,False,False,False,False,True,1.0,5,1,True,False,LH,LHLLHH,2025-10-02,2025-10-16,1.0,0.0,1.48,1.600000023841858,1.7200000476837158,1.8400000715255735,1221.HK
2025-10-31,1221.HK,1.440000057220459,1.440000057220459,1.440000057220459,1.440000057220459,1.440000057220459,5168,0.0,0.0,1.5059834900749618,1.484317729878728,1.4574326951049918,1.4778514350938738,,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/19,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,1221.HK
2025-09-25,1229.HK,0.2259999960660934,0.2399999946355819,0.2259999960660934,0.2280000001192093,0.2280000001192093,1254000,0.0,0.0,0.2266184868139055,0.2320008432325866,0.2379089271315603,0.2328314532790956,0.2058460154490316,False,False,0.2179999947547912,0.2599999904632568,0.2899999916553497,0.2189999967813491,0.2189999967813491,SB1-2025/09/25,False,False,False,False,False,False,True,1.0,4,2,True,False,LH,LHLLHH,2025-09-30,2025-10-09,1.0,1.0,0.25,0.2899999916553497,0.3299999833106993,0.369999974966049,1229.HK
2025-10-10,1229.HK,0.2549999952316284,0.270000010728836,0.2430000007152557,0.25,0.25,3644000,0.0,0.0,0.2383198959639676,0.2353118364828746,0.2376738446379827,0.2333772729737172,0.2077283464237463,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/09/25,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,1229.HK
2025-10-13,1231.HK,0.4099999964237213,0.4099999964237213,0.3199999928474426,0.3499999940395355,0.3499999940395355,1272000,0.0,0.0,0.3225344188469086,0.2810095800276315,0.2623783995956956,0.2789876949084482,,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/08/15,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,1231.HK
