index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,classification,PATTERN,LLDate,HHDate,SNO
2025-12-15,1501.HK,31.0,31.0,30.600000381469727,31.0,31.0,5200,0.0,0.0,30.60989731008053,30.44567215695272,30.418942112590617,29.914117046593915,28.77027285879647,True,True,True,True,0.3999996185302734,0.432307903583232,0.6484618553748481,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-16,1501.HK,30.020000457763672,31.0,30.020000457763672,31.0,31.0,23600,0.0,0.0,30.68082507188407,30.49387457808727,30.441728696410596,29.93561967933463,28.788039608925583,True,True,True,True,0.979999542236328,0.461538608257586,0.692307912386379,31.059999465942383,30.5,30.459999084472656,-0.02,29.5,29.5,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,HL,HLHHHL,2025-12-18,2025-12-24,1501.HK
2025-12-17,1501.HK,31.0,31.0,30.799999237060547,31.0,31.0,8000,0.0,0.0,30.738856876996056,30.53788548434055,30.463621688708216,29.956696517367604,28.805664791324585,True,True,True,True,0.2000007629394531,0.4800002234322674,0.7200003351484011,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-18,1501.HK,31.0,31.059999465942383,30.440000534057617,31.0,31.0,47600,0.0,0.0,30.786337444814954,30.57806935526746,30.484656132288286,29.97735599227121,28.823149534023194,True,True,True,True,0.6199989318847656,0.4384617438683132,0.6576926158024698,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-19,1501.HK,30.940000534057617,31.0,30.459999084472656,30.5,30.5,18000,0.0,0.0,30.734276091212237,30.571280715678984,30.485257852590703,29.98770537856287,28.83651089231783,True,True,True,True,0.5400009155273438,0.5014287403651636,0.7521431105477454,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-20,1501.HK,30.940000534057617,31.0,30.459999084472656,30.5,30.5,18000,0.0,0.0,30.734276091212237,30.571280715678984,30.485257852590703,29.98770537856287,28.83651089231783,True,True,True,True,0.5400009155273438,0.4671430587768544,0.7007145881652816,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-21,1501.HK,30.940000534057617,31.0,30.459999084472656,30.5,30.5,18000,0.0,0.0,30.734276091212237,30.571280715678984,30.485257852590703,29.98770537856287,28.83651089231783,True,True,True,True,0.5400009155273438,0.5800003051757805,0.8700004577636707,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-22,1501.HK,30.940000534057617,31.0,30.459999084472656,30.5,30.5,18000,0.0,0.0,30.734276091212237,30.571280715678984,30.485257852590703,29.98770537856287,28.83651089231783,True,True,True,True,0.5400009155273438,0.5026669820149733,0.7540004730224599,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-23,1501.HK,30.940000534057617,31.0,30.459999084472656,30.5,30.5,18000,0.0,0.0,30.734276091212237,30.571280715678984,30.485257852590703,29.98770537856287,28.83651089231783,True,True,True,True,0.5400009155273438,0.4586669921874993,0.6880004882812489,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-24,1501.HK,30.940000534057617,31.0,30.459999084472656,30.5,30.5,18000,0.0,0.0,30.734276091212237,30.571280715678984,30.485257852590703,29.98770537856287,28.83651089231783,True,True,True,True,0.5400009155273438,0.396000417073567,0.5940006256103505,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-25,1501.HK,30.940000534057617,31.0,30.459999084472656,30.5,30.5,18000,0.0,0.0,30.734276091212237,30.571280715678984,30.485257852590703,29.98770537856287,28.83651089231783,True,True,True,True,0.5400009155273438,0.4237504005432124,0.6356256008148187,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
2025-12-26,1501.HK,30.940000534057617,31.0,30.459999084472656,30.5,30.5,18000,0.0,0.0,30.734276091212237,30.571280715678984,30.485257852590703,29.98770537856287,28.83651089231783,True,True,True,True,0.5400009155273438,0.421250462532043,0.6318756937980645,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0,0,False,,,,,1501.HK
