Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_150,classification,PATTERN,LLDate,HHDate,SNO
2002-05-30,0001.HK,51.28102493286133,51.28102493286133,50.38762664794922,50.74498748779297,18.3546199798584,7990366,0.0,0.0,18.92996290930688,18.914932070079573,18.64184613379225,18.553270150432304,19.14099579366588,False,True,0.0,0.0,0.0,0.0,BY1-2002/03/28,True,False,False,False,False,False,0.0,0,0,False,False,,,,,1.HK
2002-06-19,0001.HK,48.77951049804688,48.77951049804688,47.17139434814453,47.350074768066406,17.126665115356445,10543047,0.0,0.0,18.02180591062452,18.364227532435667,18.467904980555808,18.48369446566858,19.05051595933502,False,False,0.0,0.0,0.0,0.0,CL1-2002/03/28,False,False,False,True,False,False,0.0,0,0,False,False,,,,,1.HK
2003-05-23,0001.HK,32.87703323364258,33.59175109863281,32.87703323364258,33.44880676269531,12.712888717651367,13572283,0.0,0.0,12.181074648956947,11.885600906304033,11.874250342878083,12.347317830498524,13.93531803628468,False,True,0.0,0.0,0.0,0.0,CL1-2003/02/04,True,False,False,True,False,False,0.0,0,0,False,False,,,,,1.HK
2005-05-18,0001.HK,50.38762664794922,50.56630706787109,50.208946228027344,50.38762664794922,20.66223526000977,7736824,0.0,0.0,20.92825071991609,20.804272321318603,20.631899286621604,20.43138889078574,19.509919919326723,True,True,0.0,0.0,0.0,0.0,BY1-2005/03/18,True,False,False,False,False,False,0.0,0,0,False,False,,,,,1.HK
2005-06-08,0001.HK,50.92366409301758,51.99574279785156,50.92366409301758,51.4597053527832,21.10186004638672,11110944,0.0,0.0,20.875092184494896,20.79828652750019,20.6872013041688,20.51076487693861,19.647609571501636,True,True,0.0,0.0,0.0,0.0,TP1-2005/03/18,False,True,False,False,False,False,0.0,0,0,False,False,,,,,1.HK
2005-06-22,0001.HK,52.7104606628418,53.60385894775391,52.7104606628418,53.42517852783203,21.907835006713867,18512005,0.0,0.0,21.38442334276814,21.1560614038501,20.911274134491343,20.6638253888826,19.77835888752663,True,True,0.0,0.0,0.0,0.0,TP2-2005/03/18,False,False,True,False,False,False,0.0,0,0,False,False,,,,,1.HK
2007-12-10,0001.HK,101.84732818603516,103.56265258789062,99.91759490966795,99.98906707763672,43.85832214355469,12251431,0.0,0.0,45.14215695498792,44.66106616216669,43.08219020866264,40.331568913318605,35.47882678572314,True,True,0.0,0.0,0.0,0.0,BY1-2007/11/14,True,False,False,False,False,False,0.0,0,0,False,False,,,,,1.HK
2008-01-21,0001.HK,91.19802856445312,91.98422241210938,88.19621276855469,88.26768493652344,38.71694564819336,13444282,0.0,0.0,41.71038798067239,42.84086686074222,43.09490407126873,41.5470907034678,37.002351086174045,False,False,0.0,0.0,0.0,0.0,CL1-2007/11/14,False,False,False,True,False,False,0.0,0,0,False,False,,,,,1.HK
2010-08-24,0001.HK,70.93577575683594,70.93577575683594,69.11324310302734,69.4706039428711,33.80514144897461,7634198,0.0,0.0,34.578002933228085,34.15479111602207,33.30483353813481,32.80801880756072,32.13621495884725,True,True,0.0,0.0,0.0,0.0,BY1-2010/07/14,True,False,False,False,False,False,0.0,0,0,False,False,,,,,1.HK
2010-09-07,0001.HK,73.54449462890625,73.83038330078125,72.9012451171875,73.68743896484375,35.85710906982422,7425520,0.0,0.0,34.788335661598346,34.447994737541435,33.72062903890706,33.12117966349944,32.31931324439692,True,True,0.0,0.0,0.0,0.0,TP1-2010/07/14,False,True,False,False,False,False,0.0,0,0,False,False,,,,,1.HK
