Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,T1_50,bullish_count,strong_bullish,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,SNO
2023-09-25,9961.HK,278.0,286.6000061035156,274.3999938964844,275.20001220703125,275.0232238769531,1026967,0.0,0.0,284.1801832596513,291.07369014847285,293.72127012784455,289.0021425382184,270.6953267621514,False,False,LL,LLLLLL,271.20001220703125,2023-09-28,259.0,2023-10-04,256.0,274.3999938964844,BY1-2023/07/04,True,False,False,False,False,False,0.0,False,,,,,,,,9961.HK
2023-10-04,9961.HK,263.79998779296875,263.79998779296875,256.0,259.0,258.8336181640625,1899908,0.0,0.0,274.3579853682808,282.70773934903985,289.01017995506083,287.0591201160725,270.7528850261437,False,False,LL,LLHLLL,258.20001220703125,2023-10-09,255.6000061035156,2023-10-16,254.3999938964844,256.0,CL1-2023/07/04,False,False,False,True,False,False,0.0,False,,,,,,,,9961.HK
2024-10-18,9896.HK,29.950000762939453,31.950000762939453,29.450000762939453,31.350000381469727,31.231077194213867,10264636,0.0,0.0,33.22069464261818,33.29395579701411,33.25748839469111,34.69174781968565,36.56848040739763,False,False,HL,HLLHHH,36.900001525878906,2024-10-24,38.84999847412109,2024-10-30,40.29999923706055,29.450000762939453,BY1-2024/09/20,True,False,False,False,False,False,0.0,False,,,,,,,,9896.HK
2024-10-30,9896.HK,37.70000076293945,40.29999923706055,37.25,38.84999847412109,38.70262908935547,19368521,0.0,0.0,35.666129519466494,34.610361116614726,33.9072187469379,34.818239185227995,36.5021042539348,False,True,HH,HHHLLL,32.45000076293945,2024-11-15,32.099998474121094,2024-11-22,31.549999237060547,33.5,TP1-2024/09/20,False,True,False,False,False,False,0.0,False,,,,,,,,9896.HK
2024-12-16,9896.HK,46.79999923706055,49.5,46.29999923706055,47.650001525878906,47.46924591064453,9143660,0.0,0.0,45.441477853591,42.37724959422539,38.9735014525462,37.3362265072271,37.21605253286028,True,True,HH,HHHLHH,44.400001525878906,2024-12-20,51.04999923706055,2025-01-06,55.0,35.150001525878906,TP2-2024/09/20,False,False,True,False,False,False,0.0,False,,,,,,,,9896.HK
2022-08-31,9888.HK,136.60000610351562,144.8000030517578,135.60000610351562,141.5,141.5,13502398,0.0,0.0,139.39639349557484,137.44258149888714,137.36518807409405,138.11082591409885,150.13376452297754,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2022/08/16,True,False,False,False,False,False,0.0,False,,,,,,,,9888.HK
2022-09-16,9888.HK,125.0,125.5,122.1999969482422,122.5,122.5,10311080,0.0,0.0,131.73845047962746,134.25312835744433,135.87229307349511,137.19502366322618,148.7454703441228,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2022/08/16,False,False,False,True,False,False,0.0,False,,,,,,,,9888.HK
2022-09-19,9866.HK,157.39999389648438,157.39999389648438,153.10000610351562,155.39999389648438,155.39999389648438,607990,0.0,0.0,157.2804840935528,154.8930530139242,155.0223549474061,154.67868460655015,155.2217641735978,False,False,,,0.0,,0.0,,0.0,0.0,BY1-2022/08/31,True,False,False,False,False,False,0.0,False,,,,,,,,9866.HK
2022-09-28,9866.HK,136.0,136.0,127.5,130.60000610351562,130.60000610351562,861246,0.0,0.0,145.6306355231949,149.6541013129541,152.5082440289344,153.42894767989972,154.6838528257258,False,False,LL,LLLLLL,98.25,2022-10-12,94.75,2022-10-17,90.4499969482422,102.0,CL1-2022/08/31,False,False,False,True,False,False,0.0,False,,,,,,,,9866.HK
2024-06-06,9863.HK,28.14999961853028,28.450000762939453,27.14999961853028,27.39999961853028,27.39999961853028,3161000,0.0,0.0,28.66141565478651,28.87825248145782,28.034080122174533,28.282016430025354,30.537997007804822,False,False,,,0.0,,0.0,,0.0,0.0,BY1-2024/04/15,True,False,False,False,False,False,0.0,False,,,,,,,,9863.HK
