index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,EMA250,classification,PATTERN,LLDate,HHDate,WLDate,WHDate,SNO
2026-01-06,1027.HK,3.200000047683716,3.2799999713897705,3.0999999046325684,3.0999999046325684,3.0999999046325684,420000,0.0,0.0,3.744980246703643,3.8497720787068777,3.6695145623661767,3.0794937618800136,False,False,False,False,0.1800000667572021,0.1778571094785417,0.2667856642178127,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2025/11/28,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,0.0,0.0,False,2.119874296418052,,,,,,,1027.HK
2026-01-02,1037.HK,0.7400000095367432,0.7900000214576721,0.6700000166893005,0.7599999904632568,0.7599999904632568,4338000,0.0,0.0,0.6713146375419635,0.6545474369587106,0.6356680712930085,0.5694184705384523,True,True,True,False,0.1200000047683715,0.040666663646698,0.060999995470047,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/11/24,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,0.4373057382383691,,,,,,,1037.HK
2026-01-07,1148.HK,0.3300000131130218,0.395000010728836,0.3199999928474426,0.3549999892711639,0.3549999892711639,2838000,0.0,0.0,0.3295232859644829,0.3269296460935013,0.319723899258135,0.2976172417631344,True,True,True,False,0.0750000178813933,0.0146153821394993,0.021923073209249,0.395000010728836,0.3549999892711639,0.3199999928474426,-0.19,0.2949999868869781,0.2949999868869781,TP1-2025/12/17,True,True,True,True,True,False,False,False,False,False,False,False,0.0,0,0,False,0.3199999928474426,0.395000010728836,False,0.2577110562208193,HL,HLLHLLLHLL,2026-01-08,2026-01-09,2026-01-09,2026-01-10,1148.HK
2026-01-07,1159.HK,2.0,2.490000009536743,1.809999942779541,2.319999933242798,2.319999933242798,356000,0.0,0.0,1.962361276097832,1.9469095865779904,2.1175923471484928,2.3170806809486346,False,False,False,False,0.6800000667572021,0.1253846333577083,0.1880769500365624,2.490000009536743,2.319999933242798,1.809999942779541,-0.27,1.649999976158142,1.649999976158142,TP1-2025/12/09,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0,0,False,1.809999942779541,2.490000009536743,False,2.3002081499784977,HL,HLLHLLLHLL,2026-01-08,2026-01-09,2026-01-09,2026-01-10,1159.HK
2026-01-02,1335.HK,0.1330000013113021,0.1400000005960464,0.1330000013113021,0.135000005364418,0.135000005364418,138000,0.0,0.0,0.1360683037259355,0.1338159453160385,0.133139259464304,0.134769629666811,False,False,True,False,0.0069999992847442,0.0015454563227566,0.0023181844841349,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/12/04,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,0.1391632804730823,,,,,,,1335.HK
2026-01-06,2257.HK,8.930000305175781,9.5,8.930000305175781,9.18000030517578,9.18000030517578,637150,0.0,0.0,8.313513077605736,8.25781919009289,8.925276615267844,9.207517103293409,False,False,False,False,0.5699996948242188,0.6133331934611003,0.9199997901916503,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/11/27,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,8.478239048860704,,,,,,,2257.HK
2026-01-07,0227.HK,0.2599999904632568,0.2849999964237213,0.2599999904632568,0.2750000059604645,0.2750000059604645,4164800,0.0,0.0,0.25826012691861,0.2627410672447099,0.2797886564404532,0.2990595397176913,False,False,False,False,0.0250000059604645,0.0099230798391195,0.0148846197586792,0.2849999964237213,0.2750000059604645,0.2599999904632568,-0.09,0.2409999966621399,0.2409999966621399,TP1-2025/12/19,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0,0,False,0.2599999904632568,0.2849999964237213,False,0.2915540170494657,HL,HLLHLLLHLL,2026-01-08,2026-01-09,2026-01-09,2026-01-10,227.HK
2026-01-07,0042.HK,0.270000010728836,0.3300000131130218,0.270000010728836,0.3000000119209289,0.3000000119209289,2240000,0.0,0.0,0.2818934636959996,0.2790289957732298,0.2814211937957241,0.2820094026879727,False,False,False,False,0.0600000023841857,0.0133333404858907,0.020000010728836,0.3300000131130218,0.3000000119209289,0.270000010728836,-0.18,0.2549999952316284,0.2549999952316284,TP1-2025/12/10,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0,0,False,0.270000010728836,0.3300000131130218,False,0.2725590760191556,HL,HLLHLLLHLL,2026-01-08,2026-01-09,2026-01-09,2026-01-10,42.HK
2026-01-02,6033.HK,0.699999988079071,0.699999988079071,0.6499999761581421,0.6600000262260437,0.6600000262260437,36000,0.0,0.0,0.6419673761728659,0.6443588748174378,0.6652957487379195,0.6797117877265626,False,False,False,False,0.0500000119209289,0.0164285685334886,0.024642852800233,0.0,0.0,0.0,0.0,0.0,0.0,TP1-2025/12/15,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,0.703620341247621,,,,,,,6033.HK
2026-01-02,0620.HK,0.7200000286102295,0.7300000190734863,0.6299999952316284,0.6299999952316284,0.6299999952316284,1890100,0.0,0.0,0.6445042773750025,0.6407929221325459,0.6858593364941636,0.6878277496321364,False,False,False,False,0.1000000238418579,0.059333328406016,0.088999992609024,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/12/18,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,620.HK
