index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WLDate,WHigh,WHDate,HHHL,EMA250,SNO
2025-12-29,1011.HK,0.9800000190734864,1.0,0.8799999952316284,0.8799999952316284,0.8799999952316284,1783950,0.0,0.0,0.8355950631388934,0.825227359949585,0.8285164173585627,0.7908804291479188,False,False,False,False,0.1200000047683715,0.0146153890169583,0.0219230835254375,,,0.800000011920929,2026-01-05,0.8500000238418579,2026-01-06,0.8899999856948853,0.11,0.800000011920929,0.7699999809265137,TP1-2025/11/03,True,True,True,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,0.6111235176831535,1011.HK
2026-01-06,1027.HK,3.200000047683716,3.2799999713897705,3.0999999046325684,3.0999999046325684,3.0999999046325684,400000,0.0,0.0,3.744980246703643,3.8497720787068777,3.6695145623661767,3.0794937618800136,False,False,False,False,0.1800000667572021,0.1778571094785417,0.2667856642178127,,,0.0,,0.0,,0.0,0.0,0.0,0.0,CL1-2025/11/28,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,2.119874296418052,1027.HK
2026-01-02,1037.HK,0.7400000095367432,0.7900000214576721,0.6700000166893005,0.7599999904632568,0.7599999904632568,4338000,0.0,0.0,0.6713146375419635,0.6545474369587106,0.6356680712930085,0.5694184705384523,True,True,True,False,0.1200000047683715,0.040666663646698,0.060999995470047,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/11/24,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,0.4373057382383691,1037.HK
2026-01-02,1335.HK,0.1330000013113021,0.1400000005960464,0.1330000013113021,0.135000005364418,0.135000005364418,138000,0.0,0.0,0.1360683037259355,0.1338159453160385,0.133139259464304,0.134769629666811,False,False,True,False,0.0069999992847442,0.0015454563227566,0.0023181844841349,,,0.1379999965429306,2026-01-06,0.1330000013113021,2026-01-07,0.1330000013113021,-0.04,0.125,0.1180000007152557,BY1-2025/12/04,False,False,True,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,0.1391632804730823,1335.HK
2026-01-06,2257.HK,8.930000305175781,9.5,8.930000305175781,9.18000030517578,9.18000030517578,637100,0.0,0.0,8.313513077605736,8.25781919009289,8.925276615267844,9.207517103293409,False,False,False,False,0.5699996948242188,0.6133331934611003,0.9199997901916503,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/11/27,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,8.478239048860704,2257.HK
2026-01-02,6033.HK,0.699999988079071,0.699999988079071,0.6499999761581421,0.6600000262260437,0.6600000262260437,36000,0.0,0.0,0.6419673761728659,0.6443588748174378,0.6652957487379195,0.6797117877265626,False,False,False,False,0.0500000119209289,0.0164285685334886,0.024642852800233,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/12/15,False,False,False,True,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,0.703620341247621,6033.HK
2026-01-02,0620.HK,0.7200000286102295,0.7300000190734863,0.6299999952316284,0.6299999952316284,0.6299999952316284,1890100,0.0,0.0,0.6445042773750025,0.6407929221325459,0.6858593364941636,0.6878277496321364,False,False,False,False,0.1000000238418579,0.059333328406016,0.088999992609024,,,0.0,,0.0,,0.0,0.0,0.0,0.0,BY1-2025/12/18,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,,620.HK
2025-12-29,6609.HK,48.52000045776367,54.25,48.52000045776367,53.75,53.75,153650,0.0,0.0,50.854433829705016,49.73600432637169,50.81068280668317,50.50746268946301,False,False,False,False,5.729999542236328,2.0721427372523737,4.144285474504748,,,66.9000015258789,2026-01-05,57.0,2026-01-07,56.5,-0.16,47.13999938964844,41.040000915527344,BY1-2025/11/25,True,True,True,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,42.90076129268356,6609.HK
2026-01-02,6609.HK,53.79999923706055,55.900001525878906,53.25,54.59999847412109,54.59999847412109,321150,0.0,0.0,51.96619096394024,50.4776518671824,51.07003047412789,50.65144020303886,False,False,False,False,2.6500015258789062,2.134999956403461,4.269999912806922,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP1-2025/11/25,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,43.079741593652194,6609.HK
2026-01-05,6609.HK,56.84999847412109,66.9000015258789,56.84999847412109,59.84999847412109,59.84999847412109,403250,0.0,0.0,53.399610511245854,51.29263852865533,51.41434294471586,50.83358987177316,False,False,False,False,10.05000305175782,2.226923135610728,4.453846271221456,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP2-2025/11/25,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,43.21336913851648,6609.HK
2026-01-02,8146.HK,0.3849999904632568,0.3849999904632568,0.3499999940395355,0.3650000095367431,0.3650000095367431,7730000,0.0,0.0,0.246393549812775,0.1994048617933845,0.1658124589698624,0.1584375362118202,False,True,True,False,0.0349999964237212,0.0240769243011107,0.0361153864516661,,,0.324999988079071,2026-01-05,0.3600000143051147,2026-01-16,0.3600000143051147,0.11,0.3499999940395355,0.2000000029802322,TP1-2025/11/20,False,True,True,False,True,False,False,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,,8146.HK
2026-01-06,8347.HK,0.1379999965429306,0.1400000005960464,0.1379999965429306,0.1400000005960464,0.1400000005960464,88000,0.0,0.0,0.1376340300938184,0.1327405516854631,0.1234210828333822,0.1112160793192357,False,True,True,False,0.0020000040531157,0.0011249999515712,0.0016874999273568,LL,LLLHLLLHLL,0.1400000005960464,2026-01-07,0.1400000005960464,2026-01-10,0.1379999965429306,-0.01,0.1379999965429306,0.1379999965429306,TU2-2025/07/08,False,True,True,False,False,False,False,False,False,False,True,False,0.0,0,0,False,0.1379999965429306,2026-01-10,0.1400000005960464,2026-01-11,False,,8347.HK
2025-12-29,9963.HK,1.100000023841858,1.350000023841858,1.100000023841858,1.159999966621399,1.159999966621399,782000,0.0,0.0,0.7548410842866453,0.6041636540372082,0.4932127532935129,0.4208773929361128,False,True,True,False,0.25,0.072692307142111,0.1090384607131665,HH,HHHLHHHLLH,1.0499999523162842,2026-01-02,2.0199999809265137,2026-01-07,2.0199999809265137,0.92,0.4950000047683716,0.4250000119209289,TP2-2025/11/13,False,True,True,False,False,True,False,False,False,False,False,False,0.0,0,0,False,2.0199999809265137,2026-01-07,1.7000000476837158,2026-01-08,False,,9963.HK
2026-01-05,9963.HK,1.25,1.5700000524520874,1.25,1.559999942779541,1.559999942779541,522000,0.0,0.0,1.039353219810402,0.786857855863365,0.5914820609839054,0.4755344429830032,False,True,True,False,0.3200000524520874,0.1057142870766776,0.1585714306150163,,,0.0,,0.0,,0.0,0.0,0.0,0.0,TP3-2025/11/13,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,0.0,,0.0,,False,,9963.HK
