index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,ADX,DIplus,DIminus,RSI,KC_middle,KC_upper,KC_lower,KC_Width,Price_zscore,Volume_zscore,Anomaly_Score,MA_50,MA_20,Price_Above_MA50,Price_Increase_50D,Price_Increase_30D,Resistance,Above_Resistance,Breakout_Percentage,Volatility_Decrease,Volatility_Decrease_Pct,Contraction_Structure,Contraction_Count,Valid_Contractions,KC_Contraction,Volume_Contraction,Volume_Spike,Breakout_Detected,ADX_Strength,DI_Bullish,RSI_Value,Anomaly_Free,Uptrend_Requirement,Contraction_Pattern,Volume_Signature,Momentum_Confirmation,VCP,classification,PATTERN,LLDate,HHDate,WLDate,WHDate,SNO
2009-11-18,0101.HK,31.700000762939453,32.0,30.5,30.950000762939453,15.490756034851074,4395653,0.0,0.0,30.83503487023905,30.29180720256777,29.20718999479579,27.535617979132198,24.88237906937507,True,True,True,False,1.5,0.9264709248262284,1.3897063872393425,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2009/10/23,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,17.511952428096155,34.42030988603458,12.681156615955198,66.66666666666669,30.37480915110348,32.5348099521899,28.21480835001705,14.22231685697986,0.6583534620238884,0.7774532840348387,1,29.173000030517574,30.407500171661376,True,17.234853068768647,7.465283273730895,32.95000076293945,False,-6.069802590868228,8.7%,8.720907454193672,True,2,True,False,False,False,False,False,True,66.7,True,False,False,False,False,False,,,,,,,101.HK
2009-09-11,1055.HK,2.6600000858306885,2.6700000762939453,2.5299999713897705,2.559999942779541,2.140466451644897,25003000,0.0,0.0,2.534797702446617,2.531025286435587,2.4565607306468022,2.269890586906074,2.1974286643880365,True,True,True,False,0.1400001049041748,0.0947368270472476,0.1421052405708714,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2009/09/01,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,28.22805804688115,38.21655025665678,19.7452323123046,50.60240860029731,2.532194065253254,2.764194010893818,2.30019411961269,18.32402569961485,0.6470263957999466,0.914340870506012,1,2.483399991989136,2.5080000042915347,True,26.10837334282936,-8.571429057997108,2.7100000381469727,False,-5.535058791733368,3.9%,3.888034955494191,False,1,False,False,False,True,False,True,True,50.6,True,True,False,True,True,False,,,,,,,1055.HK
2011-02-09,1164.HK,0.2649999856948852,0.2649999856948852,0.248999997973442,0.248999997973442,0.2248170971870422,4940000,0.0,0.0,0.2471225186200071,0.2427521320572502,0.2400475092146302,0.2398759025628957,0.2332523379244126,True,True,True,False,0.0159999877214432,0.0053076904553633,0.007961535683045,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2011/01/27,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,23.780935487222823,31.724141474711537,17.931040507009502,56.000003178914895,0.2432117071846156,0.2623117056587367,0.2241117087104946,15.706479507273682,0.6501380414320139,0.4436289355574582,1,0.2372399988770484,0.2426499992609023,True,11.1607099498376,7.792204022307092,0.2750000059604645,False,-9.454548153995454,23.5%,23.48632327595317,False,1,False,False,False,True,False,True,True,56.0,True,False,False,True,True,False,,,,,,,1164.HK
2007-02-27,1171.HK,4.15384578704834,4.15384578704834,3.887178897857666,3.90256404876709,0.906402587890625,110500519,0.0,0.0,3.899412000413693,3.783445508279011,3.5734145485088247,3.341586999985134,3.1409166231593364,True,True,True,False,0.2666668891906738,0.1035255491733553,0.155288323760033,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2007/02/08,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,25.450738732960048,34.77221048782216,24.46051025965629,58.10811978196046,3.800147336612024,4.086301034579554,3.5139936386444943,15.060137022089611,0.76007805106657,2.3891522921164827,1,3.566563692092896,3.774615025520325,True,29.421795103624557,15.303043708330115,4.333333015441895,False,-9.94082303713456,-4.5%,-4.465259799747601,True,2,True,True,False,True,False,True,True,58.1,True,True,True,True,True,False,,,,,,,1171.HK
2018-06-11,1171.HK,5.989743232727051,6.133333206176758,5.8461527824401855,6.020512104034424,1.86195969581604,33686281,0.0,0.0,5.933967325077071,5.800874200600325,5.646099835920589,5.463310703544393,4.817883864046544,True,True,True,False,0.2871804237365722,0.2269232273101806,0.340384840965271,6.338460922241211,5.538461208343506,5.415383815765381,-0.15,5.282051086425781,5.282051086425781,BY1-2018/05/29,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,5.282051086425781,6.369229793548584,False,17.681059219036857,26.52064606368219,29.197069558120447,49.32125506962897,5.820187465473299,6.400700418277864,5.239674512668733,19.94825617725556,0.8101062703486664,0.6356624438561953,1,5.470973911285401,5.848204779624939,True,20.41024208068848,7.50914654577028,6.369229793548584,False,-5.475037026727747,2.6%,2.571764475545768,False,1,False,False,False,False,False,False,False,49.3,True,True,False,False,False,False,HL,HLLHLLHHHL,2018-06-12,2018-06-20,2018-05-30,2018-06-07,1171.HK
2003-11-06,1193.HK,8.399999618530273,8.5,8.0,8.199999809265137,5.17350959777832,302640,0.0,0.0,8.061156707462017,7.93098459382435,7.61031496383262,7.044041066332468,6.452915946311984,True,True,True,False,0.5,0.2812500894069671,0.4218751341104507,8.5,8.199999809265137,7.900000095367432,-0.07,7.099999904632568,7.099999904632568,BY1-2003/10/20,True,True,True,True,False,False,False,False,False,False,False,False,0.0,0,0,False,7.099999904632568,9.100000381469728,False,26.197862460928025,33.333327446456515,24.07406197327169,51.85184138628935,7.94930438843032,8.679304550554953,7.219304226305685,18.366390981004574,0.6904815602913509,0.1006127658666572,1,7.724000024795532,7.975000023841858,True,26.15384321946364,5.128200112166769,9.100000381469728,False,-9.890115763481251,22.9%,22.875967131979948,False,1,False,False,False,False,False,True,True,51.9,True,True,False,False,True,False,HL,HLLHLLHHHL,2003-11-07,2003-11-10,2003-10-24,2003-11-05,1193.HK
2016-06-10,1193.HK,22.950000762939453,23.0,22.350000381469727,22.5,17.042625427246094,3093398,0.0,0.0,22.35345498229589,22.096367925578225,21.949301437763,21.73539898398881,21.69446955335462,True,True,True,False,0.6499996185302734,0.5066666920979818,0.7600000381469727,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2016/05/11,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,27.16832547298795,29.56987438980222,12.365588310454116,61.0526324243103,22.11538384515447,23.270383959595385,20.960383730713552,10.44521879003226,0.9769695045646274,0.709808370698018,1,22.21400009155273,21.88000011444092,True,0.2227137432577989,2.040819857186725,24.0,False,-6.25,42.2%,42.17517166518889,True,2,True,True,False,True,False,True,True,61.1,True,False,True,True,True,False,,,,,,,1193.HK
2021-02-19,1258.HK,2.700000047683716,2.7300000190734863,2.5999999046325684,2.700000047683716,2.101083278656006,17513000,0.0,0.0,2.552278267807952,2.39895216168646,2.23930732841683,2.0775727897914,1.9135848718588877,True,True,True,False,0.1300001144409179,0.143333355585734,0.2150000333786011,3.400000095367432,2.789999961853028,2.650000095367432,-0.22,1.919999957084656,1.919999957084656,BY1-2021/01/15,True,True,True,True,False,False,False,False,False,False,False,False,0.0,0,0,False,1.919999957084656,3.2699999809265137,False,37.493841969222224,43.32129233687988,12.274366879379883,70.00000794728724,2.416104175758456,2.756104244899844,2.076104106617068,28.14448752274154,1.3247352836271673,2.3707921371030163,1,2.241200017929077,2.32150000333786,True,37.05583799348865,23.853209403797177,3.2699999809265137,False,-17.431190720719684,-29.4%,-29.448716829676524,True,2,True,True,False,True,False,True,True,70.0,True,True,True,True,True,False,HL,HLLHLLHHHL,2021-02-22,2021-02-24,2021-02-01,2021-02-16,1258.HK
2025-03-11,0136.HK,2.559999942779541,2.559999942779541,2.4800000190734863,2.539999961853028,2.539999961853028,34399550,0.0,0.0,2.4980406524570866,2.4531110369938154,2.399238965876176,2.310431576734524,2.161706201187915,True,True,True,False,0.0799999237060546,0.0776923436384934,0.1165385154577401,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/02/26,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,16.705218230680398,29.41179495506358,18.300633632348625,61.290326715550215,2.4575802387093604,2.6795802415703838,2.235580235848337,18.066551753981383,0.9730292938848636,0.624343183538122,1,2.434000005722046,2.425499975681305,True,3.673465812965999,8.085109146000867,2.680000066757202,False,-5.223884381225944,11.6%,11.551302527415164,False,1,False,False,False,False,False,False,True,61.3,True,False,False,False,False,False,,,,,,,136.HK
2018-02-23,0168.HK,43.04999923706055,43.29999923706055,41.95000076293945,42.84999847412109,35.93606185913086,716519,0.0,0.0,42.816622835748326,42.763828556500194,41.4252730307806,38.96982586399272,36.03402335864153,True,True,True,False,1.3499984741210938,1.5555551317003031,2.3333326975504547,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2018/02/07,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,35.35077051069213,24.800006835938547,22.00000335693408,50.57033360186096,42.78841413439616,46.23341344775065,39.34341482104166,16.102486540089718,0.1795814329324294,1.189844468584203,1,42.20200012207031,42.59499988555908,True,27.71981951876596,-6.543075463117576,45.95000076293945,False,-6.74646841642415,7.5%,7.479206583870912,False,1,False,False,False,False,False,True,True,50.6,True,True,False,False,True,False,,,,,,,168.HK
