index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,LLLow,HHClose,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,WLow,WHigh,HHHL,classification,PATTERN,LLDate,HHDate,WLDate,WHDate,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-11-21,0101.HK,9.010000228881836,9.010000228881836,8.699999809265137,8.729999542236328,8.729999542236328,12013020,0.0,0.0,9.015819305094013,8.933711686988667,8.729460126566778,8.315135100913515,7.747289534743377,True,True,True,False,0.3100004196166992,0.1557139669145857,0.2335709503718786,9.1899995803833,9.0,8.850000381469727,-0.04,8.319999694824219,8.319999694824219,BY1-2025/10/30,True,True,True,True,False,False,False,False,False,False,False,False,0.0,0,0,False,8.850000381469727,9.170000076293944,False,HL,HLLHHLLHLL,2025-11-26,2025-11-28,2025-11-28,2025-12-01,,,,,,,101.HK
2026-01-09,0101.HK,8.819999694824219,9.170000076293944,8.819999694824219,9.170000076293944,9.170000076293944,14671937,0.0,0.0,8.867634240466517,8.87048054634513,8.839141650314568,8.578139492564103,7.994462631355969,False,False,False,False,0.3500003814697248,0.1733333587646485,0.2600000381469728,0.0,0.0,0.0,0.0,0.0,0.0,TU2-2025/10/30,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,101.HK
2024-05-27,1038.HK,44.95000076293945,45.29999923706055,44.5,45.04999923706055,42.286895751953125,1135732,1.85,0.0,46.56376677709152,46.14246035604323,45.62102612815736,44.71131049567171,43.28523145409389,True,True,True,False,0.7999992370605469,0.7473688627544228,1.1210532941316342,46.650001525878906,44.5,44.34999847412109,-0.05,44.09999847412109,43.900001525878906,BY1-2024/04/09,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,44.34999847412109,46.54999923706055,False,HL,HLLHLLLHLL,2024-05-28,2024-05-30,2024-05-30,2024-06-03,,,,,,,1038.HK
2024-07-10,1038.HK,44.900001525878906,46.04999923706055,44.75,45.09999847412109,42.33382797241211,2001630,0.0,0.0,44.31739273079281,44.24935570439554,44.5780450613582,44.46512299871494,43.47980181754951,False,False,False,False,1.2999992370605469,0.7600001017252604,1.140000152587891,0.0,0.0,0.0,0.0,0.0,0.0,TU2-2024/04/09,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,1038.HK
2025-11-18,1070.HK,10.279999732971191,10.289999961853027,9.619999885559082,9.670000076293944,9.670000076293944,9339235,0.0,0.0,9.739053815000304,9.698330016593165,9.815490771546386,9.739435793328976,8.679090404671982,False,False,False,False,0.6700000762939453,0.243333180745443,0.3649997711181645,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/28,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,1070.HK
2025-11-27,1070.HK,9.760000228881836,10.489999771118164,9.619999885559082,10.31999969482422,10.31999969482422,11795936,0.0,0.0,9.80443007205444,9.73682419172195,9.801859339156133,9.741065219193056,8.737267187363406,False,False,False,False,0.869999885559082,0.2684613741361183,0.4026920612041774,10.010000228881836,10.989999771118164,11.5600004196167,0.15,9.029999732971191,8.90999984741211,TP1-2025/10/28,True,True,True,False,True,False,False,False,False,False,False,False,0.0,0,0,False,11.5600004196167,10.729999542236328,False,HH,HHHLHHHLLH,2025-12-01,2025-12-04,2025-12-04,2025-12-08,,,,,,,1070.HK
2025-12-03,1070.HK,10.710000038146973,11.18000030517578,10.640000343322754,11.06999969482422,11.06999969482422,13253503,0.0,0.0,10.252690709856177,9.991949700934072,9.91295306649353,9.802899376313444,8.794061018167834,True,True,True,False,0.5399999618530256,0.3115384028508111,0.4673076042762167,0.0,0.0,0.0,0.0,0.0,0.0,TP2-2025/10/28,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,1070.HK
2024-12-17,1088.HK,34.0,34.20000076293945,33.54999923706055,33.849998474121094,30.62053298950196,24278289,0.0,0.0,34.05600129355965,33.71532363741488,33.570796027708816,33.53515752335419,32.175017823205664,True,True,True,False,0.6500015258789062,0.7633328755696615,1.1449993133544922,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2024/11/18,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,1088.HK
2025-01-09,1088.HK,31.450000762939453,31.450000762939453,30.39999961853028,30.450000762939453,27.54491424560547,41025562,0.0,0.0,32.211978268538104,32.743824839073646,33.1060594148121,33.290588701112505,32.19659460623426,False,False,False,False,1.050001144409176,0.8156247138977049,1.2234370708465572,0.0,0.0,0.0,0.0,0.0,0.0,CL1-2024/11/18,False,False,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,1088.HK
2024-03-05,0011.HK,87.5,87.75,84.8499984741211,85.3499984741211,77.41979217529297,3321830,3.2,0.0,87.95899494157523,86.41897559742064,86.06460562019682,88.82940955093359,99.19987562601436,False,False,True,False,2.9000015258789062,1.7535721915108835,3.5071443830217675,0.0,0.0,0.0,0.0,0.0,0.0,BY1-2024/02/07,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0,0,False,0.0,0.0,False,,,,,,,,,,,,,11.HK
