index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily_Range,Avg_Range,Turn_Threshold,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2000-11-10,0001.HK,65.03934478759766,65.3967056274414,64.68199157714844,64.68199157714844,22.24014472961425,5584485,0.0,0.0,0.7147140502929688,1.4492895338270384,2.898579067654077,65.21381982208963,65.08244589849609,65.96029495486786,66.52775651781972,,False,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2000/10/23,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,,,,,1.HK
2000-12-06,0001.HK,66.82614135742188,69.50634002685547,66.82614135742188,68.79161834716797,23.65318298339844,21492692,0.0,0.0,2.6801986694335938,1.5299439430236816,3.0598878860473637,64.85907942302993,64.72655801870306,65.25786160342186,65.93902958565009,,False,False,False,0.0,0.0,0.0,0.0,0.0,TP1-2000/10/23,False,False,False,False,True,False,False,False,False,False,0.0,0,0,False,,,,,,,,,,,1.HK
2000-12-12,0001.HK,70.75709533691406,71.82917022705078,70.57841491699219,71.29312896728516,24.513303756713867,9032398,0.0,0.0,1.2507553100585938,1.6639535427093506,3.327907085418701,68.02104947117765,66.49802266629571,66.0343401525034,66.28962165370017,,False,False,True,0.0,0.0,0.0,0.0,0.0,TP2-2000/10/23,False,False,False,False,False,True,False,False,False,False,0.0,0,0,False,,,,,,,,,,,1.HK
2001-01-19,0001.HK,75.76011657714844,76.11747741699219,74.33068084716797,75.04540252685547,25.803482055664062,9217447,0.0,0.0,1.7867965698242188,1.6081156412760416,3.216231282552083,73.5477253297476,72.32958480922868,70.2160622158044,68.73776605723549,68.20593973970468,True,True,True,62.71651458740234,66.1114273071289,67.00482177734375,62.89519500732422,62.89519500732422,TP3-2000/10/23,False,False,False,False,False,False,True,False,False,False,0.0,0,0,False,HH,HHLLLH,2001-03-05,2001-03-07,,,,,,,1.HK
2001-08-31,0001.HK,52.88914108276367,52.88914108276367,50.92366409301758,51.4597053527832,18.03300666809082,8787598,0.0,0.0,1.9654769897460935,1.5969488620758052,3.1938977241516104,51.508603650872566,52.081594447563454,54.71880716072376,57.9718196360764,62.334411228605056,False,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2001/08/17,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,,,,,1.HK
2001-09-07,0001.HK,48.95819091796875,48.95819091796875,46.27799987792969,46.63535690307617,16.342418670654297,14972264,0.0,0.0,2.6801910400390625,1.6527860164642334,2.47917902469635,50.17996569523059,51.2019647156181,53.82614002134633,57.198076950770336,61.84563242734532,False,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2001/08/17,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,,,,,,,,,1.HK
2003-01-17,0001.HK,37.70138168334961,37.70138168334961,36.27194213867188,36.629302978515625,13.402847290039062,6758679,0.0,0.0,1.4294395446777273,0.7087616390652111,1.0631424585978166,37.58900513803114,37.695781036555374,38.01236041810921,39.13581117535089,43.78359326601485,False,False,False,0.0,0.0,0.0,0.0,0.0,BY1-2002/12/23,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,,,,,1.HK
2003-02-05,0001.HK,35.73590469360352,35.91458511352539,34.94971466064453,35.23560333251953,12.892879486083984,7754226,0.0,0.0,0.9648704528808594,0.6646873474121089,0.9970310211181632,36.26613062768142,36.763316343256704,37.392732700206025,38.573850883202994,43.15324916216237,False,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2002/12/23,False,False,False,False,False,False,False,True,False,False,0.0,0,0,False,,,,,,,,,,,1.HK
2009-12-09,0001.HK,71.75769805908203,71.75769805908203,70.22105407714844,70.86430358886719,33.32770538330078,5903179,0.0,0.0,1.5366439819335938,0.9786124596228968,1.9572249192457931,71.09721902500127,70.65904882998909,70.26178529056475,68.78838235065079,66.187437748129,True,True,True,0.0,0.0,0.0,0.0,0.0,BY1-2009/11/26,False,False,False,True,False,False,False,False,False,False,0.0,0,0,False,,,,,,,,,,,1.HK
2009-12-14,0001.HK,71.15018463134766,72.82977294921875,70.64988708496094,72.75830078125,34.218467712402344,6781854,0.0,0.0,2.1798858642578125,1.2328872680664062,2.4657745361328125,71.42322625978201,70.91569636778486,70.42373729684243,68.95667266246008,66.31742242880992,True,True,True,67.54086303710938,72.75830078125,74.25920867919922,67.68380737304688,67.68380737304688,TP1-2009/11/26,True,True,True,False,True,False,False,False,False,False,0.0,0,0,False,HH,HHLLHH,2009-12-22,2010-01-11,,,,,,,1.HK
