Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,classification,PATTERN,LLDate,HHDate
2023-01-30,9997.HK,9.579999923706056,9.579999923706056,9.039999961853027,9.039999961853027,6.8723344802856445,628500,0.0,0.0,7.101724446384039,6.8792502590303295,6.386625267788301,5.904661258435368,5.970886342651609,False,True,0.0,0.0,0.0,0.0,BY1-2022/12/19,True,False,False,False,False,False,0.0,,,,
2023-02-03,9997.HK,9.600000381469728,10.539999961853027,9.600000381469728,10.279999732971191,7.814999580383301,5007500,0.0,0.0,7.274184274845679,7.032830887032255,6.531781520034134,6.016755971403563,6.014609829744783,True,True,0.0,0.0,0.0,0.0,TP1-2022/12/19,False,True,False,False,False,False,0.0,,,,
2023-08-08,9996.HK,8.180000305175781,8.180000305175781,7.639999866485596,7.769999980926514,7.769999980926514,5086000,0.0,0.0,8.31494078080469,8.102821242155422,7.903959992360901,8.208604548694964,9.076643676202105,False,True,0.0,0.0,0.0,0.0,BY1-2023/06/16,True,False,False,False,False,False,0.0,,,,
2025-02-28,9996.HK,4.369999885559082,4.369999885559082,3.950000047683716,4.010000228881836,4.010000228881836,1760000,0.0,0.0,4.22546236138856,4.113271386431832,3.979866989824127,3.884308350176872,4.451277102936452,False,True,0.0,0.0,0.0,0.0,BY1-2025/01/22,True,False,False,False,False,False,0.0,,,,
2025-03-06,9996.HK,4.210000038146973,4.78000020980835,4.210000038146973,4.690000057220459,4.690000057220459,5917002,0.0,0.0,4.215154607640356,4.129303827726087,4.004589252936116,3.9039483352880384,4.441328818298296,False,True,0.0,0.0,0.0,0.0,TP1-2025/01/22,False,True,False,False,False,False,0.0,,,,
2025-03-19,9996.HK,5.070000171661377,5.579999923706055,4.96999979019165,5.53000020980835,5.53000020980835,2289000,0.0,0.0,4.825651323962552,4.555406957070222,4.266160715726491,4.06174790382426,4.470229728808516,False,True,0.0,0.0,0.0,0.0,TP2-2025/01/22,False,False,True,False,False,False,0.0,,,,
2025-05-28,9956.HK,9.18000030517578,9.18000030517578,8.529999732971191,8.670000076293945,8.507554054260254,4987100,0.0,0.0,8.638566941260835,8.48728143679793,8.246461845953938,7.951316900441303,7.353239769745398,True,True,0.0,0.0,0.0,0.0,BY1-2025/04/28,True,False,False,False,False,False,0.0,,,,
2025-06-12,9956.HK,8.020000457763672,8.069999694824219,7.920000076293945,7.980000019073486,7.830482006072998,2101500,0.0,0.0,8.03747483240554,8.185787494588503,8.171540499837477,7.970104362842069,7.4121704462576785,False,False,0.0,0.0,0.0,0.0,CL1-2025/04/28,False,False,False,True,False,False,0.0,,,,
2024-05-10,9933.HK,1.059999942779541,1.100000023841858,1.0,1.0,1.0,4108000,0.0,0.0,1.025106403543965,0.9027351007734636,0.7809169391834732,0.6973097807164222,0.5855976554369997,True,True,0.0,0.0,0.0,0.0,BY1-2024/03/12,True,False,False,False,False,False,0.0,,,,
2024-06-04,9933.HK,1.399999976158142,1.5099999904632568,1.3799999952316284,1.5,1.5,3616000,0.0,0.0,1.231089043211463,1.1256163799097791,0.9662969617938504,0.8255731451506902,0.6547854905932456,True,True,0.0,0.0,0.0,0.0,TP1-2024/03/12,False,True,False,False,False,False,0.0,,,,
2024-06-19,9933.HK,1.6299999952316284,1.899999976158142,1.559999942779541,1.7999999523162842,1.7999999523162842,3552000,0.0,0.0,1.5143060171420557,1.3559639967794932,1.1386521571016734,0.944286539885842,0.7178749187593173,True,True,1.409999966621399,1.7999999523162842,2.049999952316284,1.4299999475479126,TP2-2024/03/12,False,False,True,False,False,False,0.0,HH,HHHLHH,2024-07-10,2024-07-23
