Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,T1_150,SNO
2002-12-30,0001.HK,35.37854766845703,35.91458511352539,35.37854766845703,35.592960357666016,13.023639678955078,5590510,0.0,0.0,37.12907795638127,37.91740442467299,38.32411364196293,39.61160274470716,44.47018968998127,False,False,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2002/09/27,True,False,False,False,False,False,False,0.0,0,0,False,False,,1.HK
2003-03-10,0001.HK,33.23439025878906,33.23439025878906,32.019371032714844,32.162315368652344,11.768345832824709,13391888,0.0,0.0,34.205643763952786,34.936674700256226,35.89276321476176,37.24611101660053,41.785079582895285,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2002/09/27,False,False,False,False,True,False,False,0.0,0,0,False,False,,1.HK
2005-03-08,0001.HK,50.030269622802734,50.56630706787109,49.49422836303711,50.38762664794922,20.109355926513672,12681638,0.0,0.0,51.36928734096149,51.750693046324685,51.77654333699706,50.873597083374335,48.2953649548822,False,False,LL,LLLHLL,51.63838577270508,2005-03-18,48.600833892822266,2005-03-29,48.600833892822266,49.49422836303711,49.49422836303711,BY1-2004/10/04,True,False,False,False,False,False,False,0.0,0,0,False,False,,1.HK
2005-04-18,0001.HK,50.030269622802734,50.74498748779297,50.030269622802734,50.56630706787109,20.18066024780273,9516617,0.0,0.0,50.87784404403381,50.74207506755306,50.97343201926681,50.72411331936372,48.70773228530589,False,False,HL,HLHHLL,53.42517852783203,2005-05-06,49.49422836303711,2005-05-25,49.3155517578125,50.030269622802734,49.13687133789063,BY1-2005/03/18,True,False,False,False,False,False,False,0.0,0,0,False,False,,1.HK
2005-04-25,0001.HK,51.28102493286133,51.81706237792969,51.28102493286133,51.63838577270508,20.608518600463867,7343776,0.0,0.0,51.01231118251121,50.84312044933806,50.97558115167856,50.74773292808739,48.796224038831326,False,False,,,0.0,,0.0,,0.0,0.0,0.0,TP1-2005/03/18,False,True,False,False,False,False,False,0.0,0,0,False,False,,1.HK
2005-05-06,0001.HK,52.7104606628418,53.42517852783203,52.7104606628418,52.88914108276367,21.107685089111328,7121783,0.0,0.0,52.248246295373846,51.703525532993886,51.38851771056654,51.00297854982564,49.02388483235328,True,True,HH,HHLLHL,49.3155517578125,2005-05-25,51.4597053527832,2005-06-16,51.28102493286133,49.85158920288086,49.85158920288086,TP2-2005/03/18,False,False,True,False,False,False,False,0.0,0,0,False,False,,1.HK
2007-12-10,0001.HK,101.84732818603516,103.56265258789062,99.91759490966795,99.98906707763672,43.85832977294922,12251431,0.0,0.0,102.91601343212623,101.82464870585598,98.28698045662858,92.19068599436612,81.71001287994329,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2007/11/14,True,False,False,False,False,False,False,0.0,0,0,False,False,,1.HK
2008-01-21,0001.HK,91.19802856445312,91.98422241210938,88.19621276855469,88.26768493652344,38.71695327758789,13444282,0.0,0.0,95.09218196899047,97.66993547985987,98.27149085660956,94.86089306555564,85.02316844950587,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL1-2007/11/14,False,False,False,False,True,False,False,0.0,0,0,False,False,,1.HK
2009-12-09,0001.HK,71.75769805908203,71.75769805908203,70.22105407714844,70.86430358886719,33.32770919799805,5903179,0.0,0.0,71.09721902500127,70.65904882998909,70.26178529056475,68.78838235065079,66.187437748129,True,True,,,0.0,,0.0,,0.0,0.0,0.0,BY1-2009/11/10,True,False,False,False,False,False,False,0.0,0,0,False,False,,1.HK
2009-12-14,0001.HK,71.15018463134766,72.82977294921875,70.64988708496094,72.75830078125,34.21846008300781,6781854,0.0,0.0,71.42322625978201,70.91569636778486,70.42373729684243,68.95667266246008,66.31742242880992,True,True,HH,HHLLHH,67.54086303710938,2009-12-22,72.75830078125,2010-01-11,74.25920867919922,67.68380737304688,67.68380737304688,TP1-2009/11/10,False,True,False,False,False,False,False,0.0,0,0,False,False,,1.HK
2010-01-26,0001.HK,68.8988265991211,68.8988265991211,67.39791870117188,67.61233520507812,31.798301696777344,5843547,0.0,0.0,69.59839865479145,70.25067276470607,70.40461370157745,69.60681303981549,67.17195458784302,False,False,,,0.0,,0.0,,0.0,0.0,0.0,CL2-2009/11/10,False,False,False,False,False,True,False,0.0,0,0,False,False,,1.HK
