index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,F10D,F20D,F30D,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,HFH,FlatCount,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS1,BOSS2,rolling_22_low,rolling_33_low,MA150,WLow,WHigh,HHHL,MA_20,MA_50,MA_150,MA_200,High_52W,Low_52W,Trend_Template,Depth_60D,Depth_20D,Depth_5D,Contraction_Structure,Vol_MA50,Vol_MA10,Volume_Contraction,Resistance,Breakout_Detected,VCP,MLP,BOSS_PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,classification,WLDate,WHDate,HHHL_PATTERN,BOSS_STATUS,22DLow,33DLow,SNO
2004-01-05,0001.HK,44.84856033325195,47.350074768066406,44.49120330810547,47.17139434814453,18.07292938232422,16074214,0.0,0.0,0.1060606526214695,0.083333346811478,0.1363636731222128,44.452736879594255,43.985408315706806,43.79101886399696,42.746802783092456,40.95952839530645,True,True,True,True,25,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,42.16836929321289,40.91761016845703,41.01004880269368,0.0,0.0,False,43.74968242645264,43.90513404846192,41.01004880269368,38.67125284194946,47.886112213134766,28.445781707763672,True,0.1423221632631065,0.1094339449353548,0.0943396104809508,False,5985130.22,4291440.8,True,46.09931945800781,True,True,False,,,,,,,,,,,,,,,1.HK
2007-01-05,0001.HK,68.6129379272461,71.82917022705078,67.89822387695312,71.47180938720703,30.48838233947754,12376427,0.0,0.0,0.0550000624469402,0.0700000309566029,0.0150000752565688,68.65500101012343,67.20187297396889,65.33215241381238,63.5741318827094,61.058016518248245,True,True,True,True,12,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,63.07387161254883,63.03813934326172,61.69565859476725,63.07387161254883,71.32886505126953,False,66.76003170013428,64.8034912109375,61.69565859476725,61.329603881835936,71.82917022705078,55.17623901367188,True,0.1701492534142811,0.1218905715717807,0.0587064420853437,True,7969366.82,6380268.0,True,71.32886505126953,True,True,False,HLHHHL,75.04540252685547,2007-01-08 00:00:00,70.07810974121094,2007-01-10 00:00:00,69.89942932128906,-0.07,HL,2006-12-13,2007-01-03,HLLHLLHHHL,,,,1.HK
2007-01-08,0001.HK,71.32886505126953,75.04540252685547,70.75709533691406,74.0447998046875,31.585962295532227,18235959,0.0,0.0,0.0501929893253101,0.0125482215719407,-0.0289575691381939,69.63496442731689,67.79691008968355,65.67382486051338,63.781471841560446,61.16149686316011,True,True,True,True,10,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,63.07387161254883,63.07387161254883,61.7821395111084,71.32886505126953,67.89822387695312,False,67.15670032501221,65.07008110046387,61.7821395111084,61.413404598236085,75.04540252685547,55.17623901367188,True,0.205714293847383,0.1595238417173197,0.0952380613501897,False,8257522.62,7371585.9,False,71.82917022705078,True,True,False,HHHLHH,69.89942932128906,2007-01-10 00:00:00,77.7613296508789,2007-01-22 00:00:00,78.54752349853516,0.12,HH,2007-01-03,2007-01-05,LHLLHHHLHH,,,,1.HK
2010-11-03,0001.HK,87.55297088623047,90.5547866821289,87.48149871826172,90.1259536743164,44.15824508666992,9849579,0.0,0.0,-0.0340999217048284,-0.0769230378526552,-0.0896114438098605,87.18795987956996,85.56895069607896,81.26759474920918,76.66085541014527,71.89935317002507,True,True,True,True,26,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,81.1205062866211,73.615966796875,71.77199277242025,0.0,0.0,False,86.62740936279297,79.90191116333008,71.77199277242025,70.97543947219849,90.5547866821289,60.78677368164063,True,0.2375690621699176,0.1041831220764134,0.0718232244354862,True,7411606.66,5661209.0,True,89.05387878417969,True,True,False,,,,,,,,,,,,,,,1.HK
2010-11-04,0001.HK,90.4118423461914,92.9133529663086,90.4118423461914,92.84188079833984,45.48894882202149,10518248,0.0,0.0,-0.0469591882501815,-0.1023864712965459,-0.1231716305347427,88.21594550116448,86.20137940062338,81.72148831976334,76.98127175446596,72.06622590013116,True,True,True,True,15,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,81.1205062866211,73.7589111328125,71.90778917948406,0.0,0.0,False,87.09197616577148,80.36933670043945,71.90778917948406,71.08836492538452,92.9133529663086,60.78677368164063,True,0.2569230500152771,0.1269230557631874,0.0953846004779469,False,7469287.66,6129394.0,True,90.5547866821289,True,True,False,,,,,,,,,,,,,,,1.HK
2011-01-06,0001.HK,92.9133529663086,94.19984436035156,92.34158325195312,93.98543548583984,46.04924011230469,8869306,0.0,0.0,0.0106463593746788,-0.0015209200787182,-0.0745247591518013,88.91239886773124,86.69105464274065,85.07514182375297,82.04789793419874,76.0983900179727,True,True,True,True,6,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,80.62020111083984,79.47665405273438,76.98276430765787,0.0,0.0,False,85.37665328979492,85.97630096435547,76.98276430765787,74.9103200340271,94.9860382080078,60.78677368164063,True,0.1632806720637171,0.1441578098320866,0.0955993871204916,False,6808828.3,5327976.3,True,92.12716674804688,True,True,False,,,,,,,,,,,,,,,1.HK
2013-01-07,0001.HK,86.98119354248047,88.41062927246094,86.40941619873047,88.26768493652344,47.001991271972656,8191162,0.0,0.0,0.0518218628380917,0.0161943267347322,-0.0340080947864119,86.19161633626165,85.42157818629016,83.94715316885238,81.4542889769062,77.66221287442754,True,True,True,True,45,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,82.90730285644531,80.4057846069336,77.51785011291504,0.0,0.0,False,85.64109802246094,83.7349446105957,77.51785011291504,75.86768503189087,88.41062927246094,61.46575927734375,True,0.1010509176695726,0.0573969564446739,0.0460791956754473,True,5140529.62,4709611.6,False,87.48149871826172,True,True,False,,,,,,,,,,,,,,,1.HK
2014-05-29,0001.HK,96.20105743408205,98.27374267578124,96.12958526611328,97.9163818359375,60.32944488525391,8576116,0.0,0.0,-0.0058394451779073,0.007299306472384,0.0218978414997053,96.02610657221815,95.3226162615376,93.64383273279564,91.14181198770989,87.18281770232846,True,True,True,True,15,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,88.05326843261719,88.05326843261719,88.75464853922526,0.0,0.0,False,94.4285572052002,93.99543823242188,88.75464853922526,87.33855358123779,98.631103515625,70.04237365722656,True,0.1405797099207164,0.1040000509279759,0.0414545961566766,True,5419754.82,4736047.7,False,97.13019561767578,True,True,False,,,,,,,,,,,,,,,1.HK
2015-05-21,0001.HK,119.7152862548828,122.502685546875,119.00056457519533,122.43121337890624,78.0650863647461,9437466,0.0,0.0,-0.0664145204702297,-0.0459948911044496,-0.1105209323634672,119.35368521832442,118.36641031992986,115.3655679085692,110.65069076383124,103.1705330929873,True,True,True,False,0,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,114.4263687133789,112.21074676513672,104.31882685343425,0.0,0.0,False,118.78972396850584,115.52417739868164,104.31882685343425,103.54728874206543,122.78857421875,88.98240661621094,True,0.1367869580388991,0.065927671686885,0.0478412961291106,True,6765169.06,4944141.3,True,121.85943603515624,True,True,False,,,,,,,,,,,,,,,1.HK
2025-07-22,0001.HK,49.25,51.0,49.25,50.70000076293945,50.01369094848633,12207936,0.0,0.0,0.0039447881642962,0.0157790774166088,0.020710043811835,48.92519279588184,48.371878253847335,47.14913496614567,45.59891079888872,43.6327476043263,True,True,True,True,31,False,False,False,False,False,False,False,False,0.0,0,0,0,0,False,False,46.650001525878906,45.25,43.72766665140788,0.0,0.0,False,48.62999992370605,46.9560001373291,43.72766665140788,43.26974990844727,52.95000076293945,37.04999923706055,True,0.1598039514878218,0.0745097889619715,0.0558823230219822,True,7443776.02,6013690.1,True,49.95000076293945,True,True,False,,,,,,,,,,,,,,,1.HK
