index,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,EMA3,T1_50,Daily_Range,Avg_Range,Turn_Threshold,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,VOLATILITY,22DLow,33DLow,BOSS_STATUS,HHEMA1,HHEMA2,HHEMA3,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSSTU1,BOSSTU2,BOSS1,bullish_ratio,bullish_count,strong_bullish,medium_bullish,weak_bullish,BOSS2,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-10-30,0101.HK,9.050000190734863,9.050000190734863,8.65999984741211,8.6899995803833,8.6899995803833,12386762,0.0,0.0,8.81947030894512,8.770591628488626,8.535507841226526,8.0838643044476,7.539921899660425,True,True,True,False,0.3900003433227539,0.2222222222222222,0.3333333333333333,LH,LHLLHH,8.319999694824219,2025-11-05,9.399999618530272,2025-11-13,9.479999542236328,0.14,8.5,8.430000305175781,SB1-2025/10/30,True,True,True,False,False,False,False,False,False,False,False,True,0.83,5,4,0.0,1.0,True,8.9,9.479999542236328,10.059999084472656,10.639998626708984,101.HK
2025-12-11,1093.HK,7.760000228881836,7.829999923706055,7.590000152587891,7.690000057220459,7.690000057220459,84711157,0.0,0.0,7.690694467926671,7.770461235073716,8.152875965237227,8.359291310965256,7.712095005156543,False,False,False,False,0.239999771118164,0.2268749177455902,0.3403123766183853,LH,LHLLHH,7.190000057220459,2025-12-16,8.880000114440918,2025-12-23,8.880000114440918,0.24,7.320000171661377,7.21999979019165,SB1-2025/12/11,False,False,False,False,False,False,False,False,False,False,False,True,0.8,4,2,2.0,0.0,True,8.04,8.880000114440918,9.720000228881837,10.560000343322756,1093.HK
2025-10-30,1258.HK,14.579999923706056,15.079999923706056,14.369999885559082,15.050000190734863,15.050000190734863,26383049,0.0,0.0,14.275907505376331,13.984513734932005,12.648936518566256,10.752954280432352,8.328955733458473,True,True,True,False,0.7100000381469744,0.8523528716143439,1.2785293074215158,LH,LHLLHH,12.850000381469728,2025-11-05,15.43000030517578,2025-11-13,15.529999732971191,0.21,12.989999771118164,12.989999771118164,SB1-2025/10/30,True,True,True,False,False,False,False,False,False,False,False,True,0.83,5,1,2.0,2.0,True,14.19,15.529999732971191,16.869999465942385,18.20999919891357,1258.HK
2025-10-27,1519.HK,10.420000076293944,10.579999923706056,10.199999809265137,10.40999984741211,10.40999984741211,21608736,0.0,0.0,10.230055772456984,10.059593077455126,9.852434292885764,9.249055517699407,8.423942364953593,True,True,True,False,0.3800001144409197,0.3471427645002096,0.5207141467503145,LH,LHLLHH,9.199999809265137,2025-11-21,10.6899995803833,2025-12-05,10.710000038146973,0.16,9.270000457763672,9.270000457763672,SB1-2025/10/27,True,True,True,False,False,False,False,False,False,False,False,True,0.7,7,6,0.0,1.0,True,9.95,10.710000038146973,11.470000076293946,12.23000011444092,1519.HK
2025-11-20,1729.HK,15.06999969482422,15.789999961853027,14.649999618530272,14.760000228881836,14.760000228881836,14162445,0.0,0.0,14.414907321303309,14.655470012603551,14.41991473197064,12.876823034253857,9.382213197368973,False,False,False,False,1.1400003433227557,0.9362498521804812,1.4043747782707217,LH,LHLLHH,13.119999885559082,2025-11-21,16.440000534057617,2025-11-27,17.389999389648438,0.33,13.43000030517578,13.140000343322754,SB1-2025/11/20,True,True,True,False,False,False,False,False,False,False,False,True,1.0,4,1,1.0,2.0,True,15.25,17.389999389648438,19.529998779296875,21.669998168945312,1729.HK
2025-11-03,1833.HK,13.800000190734863,14.56999969482422,13.800000190734863,14.420000076293944,14.420000076293944,19047815,0.0,0.0,14.866481052874729,16.04761759994096,16.52950186008275,14.998042802735965,12.61404763903675,False,False,False,False,0.7699995040893572,0.8150001102023656,1.2225001653035483,LH,LHLLHH,13.119999885559082,2025-11-07,15.279999732971191,2025-11-14,15.729999542236328,0.2,13.18000030517578,13.18000030517578,SB1-2025/11/03,False,False,False,False,False,False,False,False,False,False,False,True,1.0,5,1,2.0,2.0,True,14.42,15.729999542236328,17.039999084472655,18.349998626708985,1833.HK
2025-11-10,2400.HK,69.69999694824219,72.5,69.0999984741211,70.6500015258789,70.6500015258789,3019755,0.0,0.0,69.76152558098408,71.42372675676721,72.25552982124066,66.69547841339394,50.97593499797376,False,False,False,False,3.4000015258789062,2.7029414457433365,5.405882891486673,LH,LHLLHH,63.5,2025-11-21,73.6500015258789,2025-12-01,75.44999694824219,0.19,64.80000305175781,64.80000305175781,SB1-2025/11/10,False,False,False,False,False,False,False,False,False,False,False,True,0.83,5,1,3.0,1.0,True,69.47,75.44999694824219,81.42999389648438,87.40999084472656,2400.HK
2025-11-20,2577.HK,78.4000015258789,81.0,76.0999984741211,76.25,76.25,6414950,0.0,0.0,74.98131651260975,76.1163406302222,77.25282582940454,71.83377646582518,,False,False,False,False,4.900001525878906,4.086665852864583,8.173331705729167,LH,LHLLHH,67.6500015258789,2025-11-28,81.3499984741211,2025-12-09,89.75,0.33,67.8499984741211,67.8499984741211,SB1-2025/11/20,False,False,False,False,False,False,False,False,False,False,False,True,0.71,5,1,4.0,0.0,True,78.7,89.75,100.8,111.85,2577.HK
2025-11-27,2601.HK,30.739999771118164,31.959999084472656,30.520000457763672,31.299999237060547,31.299999237060547,13770700,0.0,0.0,31.648638038642584,31.97187558556968,31.97879663901197,31.1684243285818,28.137758691424988,False,False,False,False,1.4399986267089844,0.8717644635368796,1.3076466953053194,LH,LHLLHH,30.26000022888184,2025-12-01,33.97999954223633,2025-12-08,34.720001220703125,0.15,30.5,30.5,SB1-2025/11/27,True,True,True,False,False,False,False,False,False,False,False,True,0.8,4,2,2.0,0.0,True,32.49,34.720001220703125,36.95000244140625,39.18000366210937,2601.HK
2025-10-27,2899.HK,33.0,33.7400016784668,32.720001220703125,32.91999816894531,32.91999816894531,61824025,0.0,0.0,32.58086030091624,32.08395567052197,29.70935104553411,26.37019195249432,21.670705877613766,True,True,True,False,1.020000457763672,1.4971433367047993,2.245715005057199,LH,LHLLHH,29.059999465942383,2025-11-05,34.0,2025-11-13,34.040000915527344,0.17,29.68000030517578,29.68000030517578,SB1-2025/10/27,True,True,True,False,False,False,False,False,False,False,False,True,0.67,4,2,1.0,1.0,True,31.55,34.040000915527344,36.53000183105469,39.02000274658203,2899.HK
