Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,T1_22,T1_50,PATTERN,LLClose,LLDate,HHClose,HHDate,BOSS1
2025-09-26,9933.HK,2.039999961853028,2.039999961853028,2.009999990463257,2.0299999713897705,2.0299999713897705,44000,0.0,0.0,2.0024866604498617,1.964375935687551,1.8396622839467964,1.7826770442946327,1.8246287125024232,False,True,False,False,LHLLHH,1.809999942779541,2025-10-03,2.3399999141693115,2025-10-09,True
2025-09-18,6929.HK,4.440000057220459,4.610000133514404,4.420000076293945,4.46999979019165,4.46999979019165,225500,0.15,0.0,4.400250864379669,4.450458056766072,4.392072596585179,4.176265238520146,4.050894399673967,False,False,False,False,LHLLHH,4.159999847412109,2025-09-22,4.980000019073486,2025-10-03,True
2025-09-19,6676.HK,2.299999952316284,2.390000104904175,2.2799999713897705,2.3499999046325684,2.3499999046325684,866500,0.0,0.0,2.41324555361394,2.712843513343922,3.188175936353438,3.9680854258090377,5.977447990521559,False,False,False,False,LHLLHH,2.25,2025-09-24,2.680000066757202,2025-10-06,True
2025-09-19,6655.HK,15.100000381469728,15.350000381469728,14.949999809265137,14.949999809265137,14.949999809265137,6017300,0.0,0.0,14.630237805644898,14.103596412179533,13.13123279295177,11.768851981178445,9.783380824268091,True,True,False,False,LHLLHH,14.520000457763672,2025-09-26,15.6899995803833,2025-09-30,True
2025-09-18,6601.HK,2.299999952316284,2.3299999237060547,2.25,2.2799999713897705,2.2799999713897705,2314000,0.0,0.0,2.3184273081062448,2.373534597910562,2.4451601941979493,2.423759887796068,2.1953919612669544,False,False,False,False,LHLLHH,2.2300000190734863,2025-09-23,2.369999885559082,2025-10-08,True
2025-09-15,3931.HK,27.979999542236328,30.76000022888184,27.39999961853028,27.39999961853028,27.39999961853028,32346306,0.0,0.0,26.281213941205507,24.47895350013064,22.184502833065,20.136252700904706,17.683196026903673,True,True,False,False,LHLLHH,27.5,2025-09-22,36.09999847412109,2025-10-02,True
2025-09-25,3600.HK,5.5,5.5,5.25,5.25,5.25,477000,0.0,0.0,5.36497388240393,5.295465035654128,5.004574315255526,4.654994417741607,4.227140359716915,True,True,False,False,LHLLHH,5.190000057220459,2025-09-26,5.75,2025-10-06,True
2025-10-02,2883.HK,6.679999828338623,6.769999980926514,6.630000114440918,6.739999771118164,6.739999771118164,2883883,0.0,0.0,6.76413692496062,6.877659798527149,6.918682877261958,6.799110346856724,6.736116223522388,False,False,False,False,LHLLHH,6.670000076293945,2025-10-08,6.980000019073486,2025-10-10,True
2025-09-22,2552.HK,4.269999980926514,4.369999885559082,4.159999847412109,4.25,4.25,4334000,0.0,0.0,4.210415931846832,4.053675120553292,3.7579164778595313,3.346796462861674,2.6652295350025588,True,True,False,False,LHLLHH,3.849999904632568,2025-09-26,4.840000152587891,2025-10-08,True
2025-09-23,2356.HK,9.68000030517578,9.850000381469728,9.640000343322754,9.84000015258789,9.84000015258789,958440,0.0,0.0,9.864589536517231,9.84602695326778,9.577404731508915,9.112589410422643,8.068289263047584,True,True,False,False,LHLLHH,9.720000267028809,2025-09-26,9.880000114440918,2025-10-02,True
2025-09-15,2233.HK,2.869999885559082,2.880000114440918,2.7699999809265137,2.819999933242798,2.819999933242798,32220000,0.0,0.0,2.776552231198936,2.639926150436916,2.3405224921538315,2.035038533468382,1.6502564775879884,True,True,False,False,LHLLHH,2.700000047683716,2025-09-18,3.289999961853028,2025-09-30,True
2025-09-24,2158.HK,5.760000228881836,6.090000152587891,5.670000076293945,5.880000114440918,5.880000114440918,18682634,0.0,0.0,5.957959695953864,6.06977944034231,6.153051155018328,6.09936652667384,5.695237382620221,False,False,False,False,LHLLHH,5.820000171661377,2025-09-29,7.139999866485596,2025-10-03,True
2025-09-22,2039.HK,8.119999885559082,8.119999885559082,7.809999942779541,7.889999866485596,7.889999866485596,1275950,0.0,0.0,7.970308186433573,8.025548721620398,7.778112927870086,7.162645361828457,6.344646336007009,False,False,True,False,LHLLHH,7.630000114440918,2025-09-25,8.300000190734863,2025-10-02,True
2025-09-22,1866.HK,7.420000076293945,7.429999828338623,7.179999828338623,7.309999942779541,7.309999942779541,1355000,0.0,0.0,7.360943629104914,7.319920091813992,6.896290340718313,6.167107978763269,5.065896376378618,True,True,False,False,LHLLHH,7.25,2025-09-24,8.3100004196167,2025-10-06,True
2025-09-15,1815.HK,1.5499999523162842,1.5499999523162842,1.4800000190734863,1.5199999809265137,1.5199999809265137,1298700,0.0,0.0,1.5514563350700443,1.5950084220249172,1.650399648788594,1.6052047575104944,1.2241355575045307,False,False,False,False,LHLLHH,1.409999966621399,2025-09-22,1.6399999856948853,2025-10-08,True
2025-09-22,1809.HK,7.289999961853027,7.289999961853027,7.070000171661377,7.139999866485596,7.139999866485596,212000,0.0,0.0,7.177444349679539,7.200580102641236,7.307473652492707,7.383647516097717,7.320941729239206,False,False,False,False,LHLLHH,7.0,2025-09-25,7.46999979019165,2025-10-02,True
2025-09-15,1618.HK,2.359999895095825,2.380000114440918,2.299999952316284,2.319999933242798,2.319999933242798,23438000,0.0,0.0,2.295505188186256,2.237925345878283,2.0575023141573445,1.8690651293410827,1.6818548862296276,True,True,False,False,LHLLHH,2.1600000858306885,2025-09-18,3.049999952316284,2025-10-09,True
2025-09-23,1541.HK,12.25,12.479999542236328,11.520000457763672,11.850000381469728,11.850000381469728,1775000,0.0,0.0,12.225720323739438,12.268332705628218,11.905472906115438,10.988361624283552,10.382003773796423,False,False,False,False,LHLLHH,11.329999923706056,2025-09-26,16.65999984741211,2025-10-08,True
2025-09-17,1501.HK,32.0,32.0,31.239999771118164,31.5,31.5,49000,0.0,0.0,32.17066449718461,31.888567129315305,30.125051429648607,28.556720342111927,27.65117108746555,True,True,False,False,LHLLHH,30.39999961853028,2025-09-22,32.220001220703125,2025-09-30,True
